byz_stake_fraction,seed,n_byz_nodes,mean_cost
0.0,0,0,0.12018540522832359
0.0,1,0,0.10855435348636172
0.0,2,0,0.10453135935015706
0.0,3,0,0.11273722152771495
0.0,4,0,0.09769522931158939
0.1,0,1,0.10681762538219217
0.1,1,1,0.11873015747324367
0.1,2,1,0.12776104705805474
0.1,3,1,0.11691553271000245
0.1,4,1,0.10098607951833996
0.2,0,2,0.11216022170828682
0.2,1,1,0.12150724037619429
0.2,2,1,0.11322325916883312
0.2,3,1,0.10331701092739286
0.2,4,1,0.10629332696506384
0.33,0,2,0.10411060638955036
0.33,1,2,0.11150974996178542
0.33,2,2,0.11763635793512958
0.33,3,2,0.10377605651519324
0.33,4,2,0.12123112232275295
0.5,0,3,0.11651018145521487
0.5,1,4,0.09990561475724703
0.5,2,4,0.13039590189636593
0.5,3,3,0.11571326528849389
0.5,4,2,0.11981775625671058
