n_channels,seed,success_rate,mean_chain_latency,p99_chain_latency
2,0,0.99,1.9769433152898186,5.680696142306441
2,1,0.98,2.272719926783083,6.23886353941311
2,2,0.98,2.1880627044879972,6.7940773063613324
2,3,0.99,1.926461693084028,5.5839125874426285
2,4,0.98,1.9633150465127747,6.391855553755772
4,0,1.0,4.222742583642579,9.616571036260801
4,1,1.0,3.8344292659105164,7.689040601141109
4,2,1.0,3.768313852195849,8.990924628460403
4,3,1.0,4.099745291059162,8.93573212354579
4,4,0.99,3.8428790809010485,9.63065353390996
8,0,1.0,7.666678929760136,13.39439057230753
8,1,1.0,7.737223660684032,14.691076377166304
8,2,1.0,7.954163840867555,15.225287372108372
8,3,1.0,7.725982180923252,14.38667375578145
8,4,1.0,8.317284927472402,14.966521014619907
