attack_strength,seed,mean_cost
0.0,0,0.33368463354165706
0.0,1,0.32108853710017193
0.0,2,0.33759288857272807
0.0,3,0.32318839814103256
0.0,4,0.34539356926401693
0.1,0,0.4605504782656841
0.1,1,0.4535666321743867
0.1,2,0.4783470401544999
0.1,3,0.4552905189291717
0.1,4,0.43464689342003143
0.3,0,0.6814806706261188
0.3,1,0.6852334597012514
0.3,2,0.7313270218953
0.3,3,0.6729151674901475
0.3,4,0.6923656785160791
0.5,0,0.9039425652261034
0.5,1,0.9178726011501067
0.5,2,0.9141145811872218
0.5,3,0.9074222294614879
0.5,4,0.8986933387957424
0.8,0,1.3163199133325378
0.8,1,1.2409928868947182
0.8,2,1.2569854053831344
0.8,3,1.2846229989023636
0.8,4,1.2767198530154038
1.0,0,1.4932944232608742
1.0,1,1.5354356500591109
1.0,2,1.4951714825541673
1.0,3,1.508078286102431
1.0,4,1.508634464495243
