topology,seed,mean_cost,p99_cost
complete,0,0.8446312122344639,1.287295030595053
complete,1,0.8549971335069949,1.481752995144291
complete,2,0.755617815737099,1.3984310229206824
complete,3,0.721346565391776,1.3001891264682688
complete,4,0.6727245549489248,1.0455153728223625
complete,5,0.9109987872730526,1.525913462324289
complete,6,0.7916682827322955,1.4639506542597112
complete,7,0.7482699091523659,1.2473267822451932
star,0,1.0150221797986223,2.5406146844543693
star,1,1.0434847109986656,2.717731013823112
star,2,0.9909611748980663,2.354212835283121
star,3,1.1101876666356225,2.774346681159402
star,4,1.0050883053576445,2.5700721118853336
star,5,0.9937280682672892,2.4813114674592343
star,6,0.9851376841280974,2.2785289127200015
star,7,1.0124601396130852,2.626140352678416
ring,0,0.7131213123284724,1.3260745386957435
ring,1,0.705023191106797,1.3302159595245977
ring,2,0.7059939221363468,1.3184163945536786
ring,3,0.7195703992330633,1.3692369556432875
ring,4,0.7110061569322758,1.3813191503048967
ring,5,0.7040917524395489,1.3051544579960117
ring,6,0.7171796861499421,1.3667421291041593
ring,7,0.7143085374267643,1.3520601171919289
scale_free,0,0.47334359021110683,1.1413491474170656
scale_free,1,0.4667932591175163,1.157772741972699
scale_free,2,0.46331976223439386,1.1593438189407212
scale_free,3,0.46759014025822393,1.126510644989599
scale_free,4,0.4682990127312316,1.1567556388599665
scale_free,5,0.46505657150904095,1.121853427989796
scale_free,6,0.46580049863696743,1.1613486700161282
scale_free,7,0.4682557921799624,1.146807179736339
