n_concurrent,seed,mean_latency,p99_latency
1,0,10.083926407453808,50.36022434419783
1,1,9.265203880023503,37.07104794554871
1,2,10.139903843658246,44.411727006217355
1,3,10.23321050496995,44.036575801795856
1,4,9.505552444636793,41.87986573113276
2,0,12.044765044030553,48.19236232921333
2,1,13.18187499675572,57.73524510808256
2,2,13.303173656460935,57.247548542334606
2,3,12.357218178027829,54.44382545047259
2,4,12.49306800290117,53.316614481765015
4,0,19.443099959442904,83.66949402341213
4,1,18.0605496448099,79.57174488915224
4,2,18.25909938885555,77.9242827041181
4,3,18.608308239355292,84.79712909445992
4,4,18.713424006727056,86.65922376399344
8,0,30.53242864255467,141.3913650886209
8,1,30.93640241580384,141.38732818031744
8,2,30.333999849848947,129.08528671631316
8,3,30.499837955698098,136.05235180943717
8,4,31.940865468921693,152.03950411704017
16,0,57.18100120970182,251.30509273761052
16,1,52.944902701419416,240.0404217431386
16,2,53.841420284930734,256.55268082403165
16,3,55.287187288645875,251.6236017569757
16,4,53.99214942540665,234.66726041158955
