f_byz,seed,warmup_round,mean_cost
0,0,50,0.08810778531788249
0,1,50,0.08414841875200997
0,2,50,0.09905565003913366
0,3,50,0.09090283350116442
0,4,50,0.09008533662374578
1,0,50,0.09689826059567949
1,1,50,0.10431295483414403
1,2,50,0.1007365875741705
1,3,50,0.0937648488580911
1,4,50,0.1009106439814209
2,0,50,0.10764299602896447
2,1,50,0.11725693193092596
2,2,50,0.11206977358570716
2,3,50,0.1034299071024197
2,4,50,0.10080409842438215
3,0,50,0.1203771795729077
3,1,50,0.1132564715012761
3,2,50,0.11714970963470361
3,3,50,0.12602475450594464
3,4,50,0.12665298059242042
