seed,round,ece
0,500,0.030152269995924977
0,1000,0.04765392428626569
0,1500,0.03467282861511477
0,2000,0.0418722279883236
0,2500,0.03547827491022798
0,3000,0.019979804025399128
0,3500,0.03629666253222913
0,4000,0.034164585350086235
0,4500,0.046395723984654004
1,500,0.03614883089735627
1,1000,0.02070216444845871
1,1500,0.030291001947363103
1,2000,0.030533422998453127
1,2500,0.05862206528111316
1,3000,0.01672320600986928
1,3500,0.009837113982082412
1,4000,0.043480614992636016
1,4500,0.02989091743867458
2,500,0.052323736272625904
2,1000,0.03475403459842258
2,1500,0.033615057903697565
2,2000,0.03700943255225722
2,2500,0.03461001983417308
2,3000,0.040562650553061665
2,3500,0.05686100065669275
2,4000,0.0447317439657159
2,4500,0.03079097049749756
3,500,0.05732033150500307
3,1000,0.03489840958960864
3,1500,0.05860905980053456
3,2000,0.03377987036313225
3,2500,0.033533280196541664
3,3000,0.04230678164034067
3,3500,0.03300787726741777
3,4000,0.03416299367962742
3,4500,0.04692389444589535
4,500,0.027264214670138415
4,1000,0.015859676644016298
4,1500,0.03904111509202396
4,2000,0.05930833105697568
4,2500,0.032283107172107216
4,3000,0.058074847936432764
4,3500,0.030670332949843643
4,4000,0.04739592220934512
4,4500,0.04049600228573269
