n_failed,seed,mean_cost,consensus_possible
0,0,0.09184946289648323,1
0,1,0.09154981849107868,1
0,2,0.09111870632794952,1
0,3,0.08967563289222344,1
0,4,0.08701898257928668,1
2,0,0.10912347465744196,1
2,1,0.10688626621470107,1
2,2,0.10963911255624474,1
2,3,0.11098740990832748,1
2,4,0.11076140625067173,1
4,0,0.1390194550092463,1
4,1,0.14052619726158436,1
4,2,0.14186085554722366,1
4,3,0.14209552533375724,1
4,4,0.14433097537314485,1
5,0,0.15843586623603007,1
5,1,0.16551471324996486,1
5,2,0.17059006153812795,1
5,3,0.17257552220301214,1
5,4,0.17093209764195547,1
6,0,0.1958980204163316,0
6,1,0.20130962685400283,0
6,2,0.2161254102689517,0
6,3,0.1968057369875054,0
6,4,0.2059737177544536,0
8,0,0.33605808579135804,0
8,1,0.3294580061817495,0
8,2,0.3253484236390877,0
8,3,0.3378579234827046,0
8,4,0.3496932963485114,0
