util_growth,seed,final_util,mean_cost,p99_cost
0.0001,0,0.599999999999989,0.10268934332208361,0.4461409606852519
0.0001,1,0.599999999999989,0.10230277545984438,0.4851462904420194
0.0001,2,0.599999999999989,0.1010206350434991,0.4458504909909286
0.0001,3,0.599999999999989,0.10021952782804476,0.4714081299670028
0.0001,4,0.599999999999989,0.0970595867079178,0.46169958749495466
0.0005,0,0.99,0.45845318349105485,7.482596325521886
0.0005,1,0.99,0.4422329577003121,5.217952973242495
0.0005,2,0.99,0.3812604113955972,4.758185922262314
0.0005,3,0.99,0.449871707408351,4.820411013185416
0.0005,4,0.99,0.40962831519392695,4.760303106070596
0.001,0,0.99,2.574500922704427,17.523814939327945
0.001,1,0.99,2.5981518134167825,19.999103867526568
0.001,2,0.99,2.2945260682377597,15.668887842902013
0.001,3,0.99,2.52639648100218,18.926792866797637
0.001,4,0.99,2.40461551518514,15.708341216261223
0.002,0,0.99,3.647228030606348,19.423900392843972
0.002,1,0.99,3.610777662076978,20.907015315169097
0.002,2,0.99,3.4297457410072747,19.777626428731704
0.002,3,0.99,3.4834000876149678,19.539019679983333
0.002,4,0.99,3.3144346091253514,18.445608798207985
