hc_frac,density,seed,hc_miss,lc_miss
0.1,0.3,0,0.0,1.0
0.1,0.3,1,0.0,1.0
0.1,0.3,2,0.0,1.0
0.1,0.3,3,0.0,1.0
0.1,0.3,4,0.0,1.0
0.1,0.5,0,0.0,1.0
0.1,0.5,1,0.0,1.0
0.1,0.5,2,0.0,1.0
0.1,0.5,3,0.0,1.0
0.1,0.5,4,0.0,1.0
0.1,0.7,0,0.0,1.0
0.1,0.7,1,0.0,1.0
0.1,0.7,2,0.0,1.0
0.1,0.7,3,0.0,1.0
0.1,0.7,4,0.0,1.0
0.1,0.9,0,0.0,1.0
0.1,0.9,1,0.0,1.0
0.1,0.9,2,0.0,1.0
0.1,0.9,3,0.0,1.0
0.1,0.9,4,0.0,1.0
0.2,0.3,0,0.0,1.0
0.2,0.3,1,0.0,1.0
0.2,0.3,2,0.0,1.0
0.2,0.3,3,0.0,1.0
0.2,0.3,4,0.0,1.0
0.2,0.5,0,0.0,1.0
0.2,0.5,1,0.0,1.0
0.2,0.5,2,0.0,1.0
0.2,0.5,3,0.0,1.0
0.2,0.5,4,0.0,1.0
0.2,0.7,0,0.0,1.0
0.2,0.7,1,0.0,1.0
0.2,0.7,2,0.0,1.0
0.2,0.7,3,0.0,1.0
0.2,0.7,4,0.0,1.0
0.2,0.9,0,0.0,1.0
0.2,0.9,1,0.0,1.0
0.2,0.9,2,0.0,1.0
0.2,0.9,3,0.0,1.0
0.2,0.9,4,0.0,1.0
0.3,0.3,0,0.0,1.0
0.3,0.3,1,0.0,1.0
0.3,0.3,2,0.0,1.0
0.3,0.3,3,0.0,1.0
0.3,0.3,4,0.0,1.0
0.3,0.5,0,0.0,1.0
0.3,0.5,1,0.0,1.0
0.3,0.5,2,0.0,1.0
0.3,0.5,3,0.0,1.0
0.3,0.5,4,0.0,1.0
0.3,0.7,0,0.0,1.0
0.3,0.7,1,0.0,1.0
0.3,0.7,2,0.0,1.0
0.3,0.7,3,0.0,1.0
0.3,0.7,4,0.0,1.0
0.3,0.9,0,0.0,1.0
0.3,0.9,1,0.22388059701492538,1.0
0.3,0.9,2,0.4,1.0
0.3,0.9,3,0.0,1.0
0.3,0.9,4,0.0,1.0
0.5,0.3,0,0.0,1.0
0.5,0.3,1,0.0,1.0
0.5,0.3,2,0.0,1.0
0.5,0.3,3,0.0,1.0
0.5,0.3,4,0.0,1.0
0.5,0.5,0,0.3,1.0
0.5,0.5,1,0.0,1.0
0.5,0.5,2,0.0,1.0
0.5,0.5,3,0.0,1.0
0.5,0.5,4,0.3333333333333333,1.0
0.5,0.7,0,0.47368421052631576,1.0
0.5,0.7,1,0.4895833333333333,1.0
0.5,0.7,2,0.6698113207547169,1.0
0.5,0.7,3,0.6565656565656566,1.0
0.5,0.7,4,0.4105263157894737,1.0
0.5,0.9,0,0.6274509803921569,1.0
0.5,0.9,1,0.6481481481481481,1.0
0.5,0.9,2,0.67,1.0
0.5,0.9,3,0.7129629629629629,1.0
0.5,0.9,4,0.7623762376237624,1.0
