heterogeneity_factor,seed,mean_cost,p99_cost
1.0,0,0.33391871974044696,1.5761056112436047
1.0,1,0.3319944857528796,1.4463102360797042
1.0,2,0.32458780010173005,1.4660269648547697
1.0,3,0.321310838669902,1.4953373870321238
1.0,4,0.33739964873213785,1.655735105399403
2.0,0,0.39180599950679385,1.775550178746963
2.0,1,0.4424377773900141,2.2192223163951144
2.0,2,0.4524747368539299,1.9734786561076942
2.0,3,0.41185155377324817,1.8650830968161667
2.0,4,0.3795988146973394,1.6647461725419075
5.0,0,0.7807574956478794,3.5131453224064964
5.0,1,0.5965942687070733,3.0292864506244883
5.0,2,0.5612463691474114,2.5329996382936817
5.0,3,0.7174868656886669,3.207754947403745
5.0,4,0.4706265160172661,2.0732859408003885
10.0,0,1.0660589789829635,4.928779141088429
10.0,1,0.5068270977562507,2.4502930797395255
10.0,2,0.9056204384525784,3.792875148221412
10.0,3,0.9842905994744627,4.513648097128262
10.0,4,0.5315400824733363,2.440000542964541
20.0,0,0.7034600758732857,3.0331454815148935
20.0,1,1.9663674877462496,9.159122115875029
20.0,2,1.344493726901902,6.613984995237636
20.0,3,0.8350319392006148,3.7087689310495136
20.0,4,1.1573600069955192,5.312338012783612
