trial,edf_miss_rate,psr_miss_rate
0,0.065,0.0
1,0.05,0.0
2,0.185,0.0
3,0.035,0.0
4,0.105,0.0
5,0.14,0.0
6,0.195,0.005
7,0.035,0.005
8,0.14,0.0
9,0.125,0.005
10,0.14,0.0
11,0.105,0.0
12,0.05,0.0
13,0.18,0.0
14,0.02,0.0
15,0.07,0.005
16,0.025,0.0
17,0.05,0.0
18,0.1,0.005
19,0.09,0.0
20,0.01,0.0
21,0.055,0.0
22,0.06,0.01
23,0.075,0.0
24,0.135,0.0
25,0.055,0.005
26,0.365,0.0
27,0.4,0.0
28,0.065,0.0
29,0.075,0.0
30,0.105,0.015
31,0.04,0.0
32,0.0,0.0
33,0.135,0.0
34,0.105,0.0
35,0.105,0.0
36,0.03,0.0
37,0.095,0.005
38,0.085,0.0
39,0.085,0.0
40,0.11,0.0
41,0.07,0.0
42,0.02,0.01
43,0.145,0.005
44,0.105,0.0
45,0.205,0.005
46,0.075,0.005
47,0.175,0.005
48,0.085,0.0
49,0.035,0.0
50,0.105,0.0
51,0.16,0.0
52,0.1,0.005
53,0.11,0.0
54,0.01,0.01
55,0.1,0.005
56,0.115,0.0
57,0.06,0.0
58,0.02,0.0
59,0.07,0.0
60,0.11,0.005
61,0.025,0.01
62,0.165,0.0
63,0.145,0.005
64,0.025,0.005
65,0.05,0.005
66,0.075,0.0
67,0.03,0.0
68,0.065,0.0
69,0.09,0.005
70,0.105,0.01
71,0.19,0.0
72,0.035,0.0
73,0.115,0.005
74,0.075,0.0
75,0.145,0.0
76,0.005,0.0
77,0.03,0.0
78,0.125,0.0
79,0.03,0.0
80,0.095,0.0
81,0.3,0.0
82,0.04,0.005
83,0.145,0.0
84,0.215,0.015
85,0.04,0.01
86,0.11,0.0
87,0.205,0.005
88,0.07,0.005
89,0.11,0.015
90,0.02,0.0
91,0.065,0.0
92,0.235,0.005
93,0.09,0.0
94,0.065,0.01
95,0.125,0.015
96,0.035,0.0
97,0.07,0.0
98,0.15,0.0
99,0.02,0.0
100,0.225,0.005
101,0.15,0.005
102,0.04,0.0
103,0.15,0.0
104,0.065,0.0
105,0.075,0.0
106,0.12,0.005
107,0.005,0.01
108,0.05,0.005
109,0.07,0.0
110,0.105,0.0
