n_nodes,seed,mean_total_latency,p99_total_latency
4,0,3.2020659353256735,6.675781747369384
4,1,3.18233220235539,6.432433607593575
4,2,3.1863591756882843,6.80640100025844
4,3,3.20265374889962,6.269562674090373
4,4,3.303872338537102,6.713481907086948
7,0,3.3142905604913047,5.5525272432637225
7,1,3.276242190905201,5.734022111372765
7,2,3.2922741790895675,5.747423991237838
7,3,3.29735381929959,5.711076462776441
7,4,3.273126860872665,5.958076415699931
13,0,3.271187263893358,4.924075149220956
13,1,3.23563910454753,4.803727077070898
13,2,3.3207675389648457,5.039595176989094
13,3,3.3554593806763147,5.051107368937477
13,4,3.2371624879773635,5.1277763193739
21,0,3.598877243159028,4.997704993446461
21,1,3.5682196435959432,5.005707003550083
21,2,3.5659962985903513,5.115822411286128
21,3,3.599479192487099,4.969937942096618
21,4,3.572568819961321,4.840324783875002
