rotation_rate,seed,mean_cost
0.0,0,0.09747134995797309
0.0,1,0.0786182395148443
0.0,2,0.09564301512638954
0.0,3,0.08563889257813613
0.0,4,0.08881104077562553
0.01,0,0.0786182395148443
0.01,1,0.09564301512638954
0.01,2,0.08563889257813613
0.01,3,0.08881104077562553
0.01,4,0.06963051215141074
0.05,0,0.06963051215141074
0.05,1,0.1044686532315759
0.05,2,0.09091338106286403
0.05,3,0.1000872552797294
0.05,4,0.07099495875826109
0.1,0,0.0950897805979671
0.1,1,0.09070545261644028
0.1,2,0.1065213368184979
0.1,3,0.09946983557303798
0.1,4,0.11192972770692002
0.2,0,0.09328155121817011
0.2,1,0.07756246117122534
0.2,2,0.09036331065995831
0.2,3,0.11416507864878599
0.2,4,0.1303742275848626
