n_signatures,seed,mean_sig_time_us,throughput_blocks_per_s
1,0,494.5746777236634,2.021939345141192
1,1,497.7590939357169,2.009003978396716
1,2,503.84791557678955,1.9847258847051712
1,3,499.0207093875023,2.0039248495867024
1,4,500.18638465998845,1.999254739170419
5,0,2500.1863846599886,0.3999701806775475
5,1,2498.7499699536356,0.4002001048622544
5,2,2492.7720423959477,0.40115982648731974
5,3,2497.1062810166677,0.4004635315693738
5,4,2500.5598090722206,0.39991045060067115
10,0,4993.1110391424845,0.20027593862037157
10,1,5001.635844728678,0.19993458761175498
10,2,5001.328379447003,0.19994687893510604
10,3,5001.414130827574,0.1999434507605016
10,4,4998.874151372805,0.20004504408765267
20,0,9991.11490789146,0.10008892993615279
20,1,10004.73395047279,0.09995268289495528
20,2,9999.239631848166,0.10000760425972204
20,3,9996.100581813236,0.1000390093932614
20,4,9999.641099341177,0.10000358913540253
50,0,25001.160270716013,0.03999814365300898
50,1,25001.08085108852,0.039998270713022435
50,2,24997.11094100181,0.0400046230286452
50,3,24999.245521598168,0.040001207201875236
50,4,24999.5329111523,0.040000747356119595
