compression_ratio,seed,mean_total
1.0,0,5.512942683859428
1.0,1,5.520019327038773
1.0,2,5.521577018864263
1.0,3,5.516501915690785
1.0,4,5.498772523371247
0.7,0,4.094387426352743
0.7,1,4.092258903123859
0.7,2,4.080566254567402
0.7,3,4.085211539834477
0.7,4,4.072314866374106
0.5,0,3.143256640209884
0.5,1,3.1437702428941137
0.5,2,3.116888388695207
0.5,3,3.13756818014685
0.5,4,3.157413291723762
0.3,0,2.2275720908940873
0.3,1,2.1893013074290075
0.3,2,2.2032089355811917
0.3,3,2.1923594312374313
0.3,4,2.2243701568373186
