n_layers,seed,alpha_total,beta_total,mean_lat
1,0,1.1,1.05,1.0704208105323032
1,1,1.1,1.05,0.9991893997879078
1,2,1.1,1.05,1.1697014274958446
1,3,1.1,1.05,1.1383469510041924
1,4,1.1,1.05,1.049297466543779
2,0,1.2100000000000002,1.0,1.0991083397666985
2,1,1.2100000000000002,1.0,1.2866715702454292
2,2,1.2100000000000002,1.0,1.2521816461046116
2,3,1.2100000000000002,1.0,1.154227213198157
2,4,1.2100000000000002,1.0,1.1983754978571026
3,0,1.3310000000000004,1.0,1.4153387272699722
3,1,1.3310000000000004,1.0,1.3773998107150731
3,2,1.3310000000000004,1.0,1.2696499345179728
3,3,1.3310000000000004,1.0,1.3182130476428129
3,4,1.3310000000000004,1.0,1.380552429288287
5,0,1.6105100000000006,1.0,1.5362764207667474
5,1,1.6105100000000006,1.0,1.5950377876478037
5,2,1.6105100000000006,1.0,1.6704684394388276
5,3,1.6105100000000006,1.0,1.5568993852326323
5,4,1.6105100000000006,1.0,1.6006285041811674
10,0,2.5937424601000023,1.0,2.538382897280474
10,1,2.5937424601000023,1.0,2.5546172705400467
10,2,2.5937424601000023,1.0,2.754918291532293
10,3,2.5937424601000023,1.0,2.676329360993906
10,4,2.5937424601000023,1.0,2.6094915942608923
