combo,seed,pre_cost,during_cost,post_cost,during_multiplier
partition+slow,0,0.09310164912804704,0.18932978614445817,0.08955508915009902,2.033581444771876
partition+slow,1,0.08425290079280306,0.1755273470392155,0.09398037694421177,2.08333891637603
partition+slow,2,0.09223280866134395,0.1928478366543851,0.08748096443432314,2.0908811024336753
partition+slow,3,0.09592554299334746,0.20477910570742583,0.09025780083912198,2.1347713999557705
partition+slow,4,0.09455176454512665,0.19391255572615904,0.1000444073938572,2.0508613102996143
partition+loss,0,0.09348245083368865,0.17125784249803627,0.09121511522508102,1.83197852613765
partition+loss,1,0.09066155162921556,0.18604070200465583,0.0872414481857275,2.052035274727247
partition+loss,2,0.08908986873876153,0.17984500005675674,0.0830822673579841,2.0186919411018187
partition+loss,3,0.086858351193158,0.18950117256153096,0.09293152703527138,2.1817265692749914
partition+loss,4,0.09841742973880566,0.18415879025309762,0.09044543146155135,1.8712009726513354
slow+clock_skew,0,0.0930595790197192,0.1043643533057954,0.09525716049735004,1.1214788891714278
slow+clock_skew,1,0.09310164912804704,0.10008911327663546,0.09595912865251652,1.0750519911734133
slow+clock_skew,2,0.08425290079280306,0.09255706821451734,0.09322188038293251,1.0985623918413931
slow+clock_skew,3,0.09223280866134395,0.09411305050574677,0.0921317275060204,1.020385824433761
slow+clock_skew,4,0.09592554299334746,0.0999765436876379,0.0920396675683838,1.0422306777515076
loss+leader_crash,0,0.0869483505199033,0.12706117887524437,0.09605023552752004,1.4613408778371118
loss+leader_crash,1,0.08835877821367298,0.11590030164754322,0.09126468648152083,1.311701044204891
loss+leader_crash,2,0.0901746444574207,0.12108439016462924,0.086573203935058,1.3427764633084163
loss+leader_crash,3,0.09461540008843317,0.12452357929549561,0.08892458005616778,1.3161026553722595
loss+leader_crash,4,0.09354971749506143,0.1265685048250458,0.09214569785065893,1.3529544312277317
