window,seed,mean_cost
10,0,0.5578892532378351
10,1,0.5373138374993442
10,2,0.5393401573796953
10,3,0.5414505190006688
10,4,0.5035547476516996
25,0,0.6107405498416854
25,1,0.6388751514610276
25,2,0.6489558066223438
25,3,0.6007327562755642
25,4,0.6114815491801379
50,0,0.7449506165785829
50,1,0.7397838780468359
50,2,0.7752958508175462
50,3,0.8007488271711553
50,4,0.7555638444825447
100,0,0.8225573477025266
100,1,0.8357815755436313
100,2,0.8473214307356857
100,3,0.8155234702622488
100,4,0.7689949917796939
200,0,0.8349983376936869
200,1,0.8612744644970941
200,2,0.7945778898076854
200,3,0.8911440484014288
200,4,0.8056048958686491
500,0,0.8806364771035435
500,1,0.8289930415378662
500,2,0.8249749110789613
500,3,0.830255421370749
500,4,0.8239906636127783
1000,0,0.8739230558978922
1000,1,0.9704531713459121
1000,2,0.9289424444686468
1000,3,0.8498947042637995
1000,4,0.8583600342249945
