threshold,trial,hc_miss_rate,lc_miss_rate
0.0,0,0.0,0.0
0.0,1,0.0,0.0
0.0,2,0.0,0.0
0.0,3,0.0,0.0
0.0,4,0.0,0.0
0.0,5,0.0,0.0
0.0,6,0.0,0.0
0.0,7,0.0,0.0
0.0,8,0.0,0.0
0.0,9,0.0,0.0
0.25,0,0.0,0.285140562248996
0.25,1,0.0,0.25
0.25,2,0.0,0.2647058823529412
0.25,3,0.0,0.26693227091633465
0.25,4,0.0,0.22540983606557377
0.25,5,0.0,0.264
0.25,6,0.0,0.242914979757085
0.25,7,0.0,0.2175732217573222
0.25,8,0.0,0.27896995708154504
0.25,9,0.0,0.236
0.5,0,0.0,1.0
0.5,1,0.0,1.0
0.5,2,0.0,1.0
0.5,3,0.0,1.0
0.5,4,0.0,1.0
0.5,5,0.0,1.0
0.5,6,0.0,1.0
0.5,7,0.0,1.0
0.5,8,0.0,1.0
0.5,9,0.0,1.0
0.75,0,0.0,1.0
0.75,1,0.0,1.0
0.75,2,0.0,1.0
0.75,3,0.0,1.0
0.75,4,0.0,1.0
0.75,5,0.0,1.0
0.75,6,0.0,1.0
0.75,7,0.0,1.0
0.75,8,0.0,1.0
0.75,9,0.0,1.0
1.0,0,0.0,1.0
1.0,1,0.0,1.0
1.0,2,0.0,1.0
1.0,3,0.0,1.0
1.0,4,0.0,1.0
1.0,5,0.0,1.0
1.0,6,0.0,1.0
1.0,7,0.0,1.0
1.0,8,0.0,1.0
1.0,9,0.0,1.0
2.0,0,0.0,1.0
2.0,1,0.0,1.0
2.0,2,0.0,1.0
2.0,3,0.0,1.0
2.0,4,0.0,1.0
2.0,5,0.0,1.0
2.0,6,0.0,1.0
2.0,7,0.0,1.0
2.0,8,0.0,1.0
2.0,9,0.0,1.0
5.0,0,0.0,1.0
5.0,1,0.0,1.0
5.0,2,0.0,1.0
5.0,3,0.0,1.0
5.0,4,0.0,1.0
5.0,5,0.0,1.0
5.0,6,0.0,1.0
5.0,7,0.0,1.0
5.0,8,0.0,1.0
5.0,9,0.0,1.0
