k,seed,mean_cost
1,0,3.920749694244105
1,1,4.288749022041966
1,2,3.8920292148160853
1,3,4.505040601918107
1,4,4.163990665734548
2,0,1.41164452860745
2,1,1.3548327216315983
2,2,1.2731933826489916
2,3,1.517983493093497
2,4,1.3521337125438404
3,0,0.7383515925622596
3,1,0.7269879208369855
3,2,0.771045166583667
3,3,0.8059085885636498
3,4,0.724661974200369
5,0,0.37530163757906826
5,1,0.3822867028357446
5,2,0.4084699172025675
5,3,0.40204415971195356
5,4,0.3569034796433086
7,0,0.2478427646490785
7,1,0.2592820868067969
7,2,0.2587730532522202
7,3,0.26597661588308424
7,4,0.25276181578219725
9,0,0.20442602582347466
9,1,0.21206708855064318
9,2,0.2085222412677857
9,3,0.2106245547059559
9,4,0.19662865143678052
11,0,0.180275366059533
11,1,0.18657868732374908
11,2,0.1752168992905138
11,3,0.17554575785272375
11,4,0.17499162119312633
