hour,consenter,count,p50_ms,p99_ms,p99_9_ms
0,raft,3621,27.483236331058954,78.11853159241515,115.58124276465657
1,raft,3513,27.423021722371825,74.74353073822903,97.43227159541492
2,raft,3534,26.810246429903202,75.25087409352957,101.12148479794699
3,raft,3631,27.54496688588656,75.908951828053,103.81875119099016
4,raft,3549,27.212422401775473,75.19447630643823,92.56416501235562
5,raft,3629,27.946507534139954,72.26714942718971,90.58170290717749
6,raft,3634,45.5989836376564,211.15262394412179,266.0277857675191
7,raft,3522,43.1432072399338,199.6603962071759,264.4507955542801
8,raft,3554,29.124707013785553,116.15056462778715,174.6617654628148
9,raft,3553,41.37826131210094,111.09718409382702,146.77511700521774
10,raft,3641,41.62064629261451,116.17625992834479,148.1235442286825
11,raft,3551,41.59809901363889,116.52356282397443,149.8721447794064
12,raft,3712,41.3792843155269,110.98872029384508,142.21310867756412
13,raft,3564,41.33953167563531,113.82441723604373,142.38382798727986
14,raft,3659,41.37619462428915,110.52033015418074,159.95401910619793
15,raft,3669,41.053793561352535,111.95527870421925,138.6060743310626
16,raft,3618,41.469699203029364,117.85844422802475,142.81563754395688
17,raft,3670,46.05027802793521,207.50804442632023,264.91373286649053
18,raft,3632,27.25414328204716,72.1829563094463,92.63190125865623
19,raft,3605,28.018320649415195,77.68136519945996,96.48666460127724
20,raft,3551,27.69798038301218,74.2126402445949,93.77313311812524
21,raft,3535,27.021227083793427,72.28365318298435,94.04098168644894
22,raft,3609,27.61430702426982,77.44881853018218,106.45553817360273
23,raft,3644,27.637740304270906,76.85984233548672,99.96398222492134
0,smartbft,3621,31.605721780717793,89.83631133127741,132.91842917935503
1,smartbft,3513,31.536474980727597,85.95506034896337,112.04711233472715
2,smartbft,3534,30.83178339438868,86.53850520755901,116.28970751763903
3,smartbft,3631,31.67671191876954,87.29529460226095,119.39156386963866
4,smartbft,3549,31.294285762041792,86.47364775240396,106.44878976420895
5,smartbft,3629,32.138483664260946,83.10722184126816,104.1689583432541
6,smartbft,3634,52.438831183304856,242.82551753574,305.9319536326469
7,smartbft,3522,49.61468832592387,229.60945563825226,304.1184148874221
8,smartbft,3554,33.49341306585338,133.5731493219552,200.86103028223704
9,smartbft,3553,47.585000508916075,127.76176170790107,168.7913845560004
10,smartbft,3641,47.86374323650668,133.6026989175965,170.34207586298487
11,smartbft,3551,47.837813865684716,134.0020972475706,172.35296649631735
12,smartbft,3712,47.58617696285593,127.63702833792183,163.54507497919872
13,smartbft,3564,47.5404614269806,130.8980798214503,163.7414021853718
14,smartbft,3659,47.582623817932514,127.09837967730785,183.9471219721276
15,smartbft,3669,47.21186259555541,128.74857050985213,159.39698548072195
16,smartbft,3618,47.69015408348377,135.53721086222845,164.2379831755504
17,smartbft,3670,52.957819732125486,238.63425109026826,304.6507927964641
18,smartbft,3632,31.34226477435423,83.01039975586323,106.52668644745465
19,smartbft,3605,32.22106874682747,89.33356997937895,110.95966429146883
20,smartbft,3551,31.852677440464003,85.34453628128412,107.83910308584402
21,smartbft,3535,31.07441114636244,83.12620116043199,108.14712893941628
