consenter,workload,n_txs,throughput_tps,p50_ms,p90_ms,p95_ms,p99_ms,p99_9_ms,max_ms,mean_ms,std_ms,hc_miss_rate,n_hc_total,n_hc_missed,seed
raft,asset_transfer,1000,15.900701624908098,60.75091085899298,84.88423569263466,93.7150605166295,111.43280077189543,131.85227704502336,142.84362222866125,62.890306578265836,16.736811102199617,0.02,50,1,0
raft,asset_transfer,1000,15.997428156580408,59.68589735809674,86.69791377737404,96.48722764904876,113.36064186378367,135.25354913781047,136.72546410204296,62.51004787845591,17.750137241542546,0.08,50,4,1
raft,asset_transfer,1000,15.68758011515542,61.7066999078539,87.52635529273482,95.48676974462755,113.50997224034204,136.75001366923422,137.66609377722187,63.744694379850365,17.550593393131294,0.02,50,1,2
raft,asset_transfer,1000,15.875308516890719,60.961805852157696,83.28715821275894,91.34771455848252,112.94174064716829,147.42185099990613,148.60243547785322,62.990901810571955,16.92830113674753,0.06,50,3,3
raft,asset_transfer,1000,15.792499939963548,61.70654372188572,86.12865108525476,94.0548794659923,109.26243145066556,116.81570116732784,123.44110441736713,63.32119701133956,16.481296247290608,0.02,50,1,4
smartbft,asset_transfer,1000,12.681492181243653,75.72780205591884,107.34486834726005,119.51369594271071,144.41951988052242,173.8140161613381,186.58658666068328,78.85507365442633,21.90003426229112,0.18,50,9,0
smartbft,asset_transfer,1000,12.772244547021376,74.79691859099988,109.37922641705603,123.20325295483194,143.6607142868244,178.1637104077619,180.03858475670657,78.2947739779388,23.333672527648265,0.26,50,13,1
smartbft,asset_transfer,1000,12.528380483147807,76.36329117183945,109.93417495876045,121.00256845038119,139.217847864073,169.64963228616205,178.19239214812782,79.81877636499956,22.591589476821937,0.14,50,7,2
smartbft,asset_transfer,1000,12.631587332714107,77.35130472284595,106.81764704844005,117.22593616916048,142.6859988534381,179.6181941777099,184.19042735735874,79.1666141127121,21.828375557233656,0.16,50,8,3
smartbft,asset_transfer,1000,12.545613720307257,76.84232739199325,110.77071507548416,120.6714369954168,139.46382336600843,156.15758921273454,192.2904368889418,79.7091335899595,22.143546072446544,0.24,50,12,4
arma,asset_transfer,1000,18.1212063126035,52.90501344351354,75.89420329764141,82.128857386221,97.83526929615819,119.78937665536614,127.47555003247648,55.18396417706965,14.904609997652768,0.0,50,0,0
arma,asset_transfer,1000,18.338835204836535,52.41518125707354,75.8636243189642,84.03382961989261,96.67898198387917,115.76504827169451,121.61594016868935,54.529090251940765,15.184862827085528,0.0,50,0,1
arma,asset_transfer,1000,17.888309037922358,54.24494246142847,76.61546339820791,85.32139862783531,99.22798501697592,113.52265602384463,124.74243024195212,55.902433141111764,15.461114555193209,0.0,50,0,2
arma,asset_transfer,1000,18.283143332119746,52.69938967557715,72.61268961286723,80.25615225975382,99.0562213239985,133.88742725223605,134.38489473879895,54.69519009038256,15.067359381595445,0.02,50,1,3
arma,asset_transfer,1000,18.08375753837474,53.27227429843013,75.67082330732822,83.89531581754115,97.23447573153081,107.13888198472407,109.80131556860054,55.298241965362806,14.979228520788638,0.0,50,0,4
no_pred,asset_transfer,1000,15.900701624908098,60.75091085899298,84.88423569263466,93.7150605166295,111.43280077189543,131.85227704502336,142.84362222866125,62.890306578265836,16.736811102199617,0.02,50,1,0
no_pred,asset_transfer,1000,15.997428156580408,59.68589735809674,86.69791377737404,96.48722764904876,113.36064186378367,135.25354913781047,136.72546410204296,62.51004787845591,17.750137241542546,0.08,50,4,1
no_pred,asset_transfer,1000,15.68758011515542,61.7066999078539,87.52635529273482,95.48676974462755,113.50997224034204,136.75001366923422,137.66609377722187,63.744694379850365,17.550593393131294,0.02,50,1,2
