scenario,seed,n_windows,xs_file,labels_file
clean,0,360,clean_seed0000.npy,clean_seed0000.parquet
clean,1,360,clean_seed0001.npy,clean_seed0001.parquet
clean,2,360,clean_seed0002.npy,clean_seed0002.parquet
clean,3,360,clean_seed0003.npy,clean_seed0003.parquet
clean,4,360,clean_seed0004.npy,clean_seed0004.parquet
noisy,1000,360,noisy_seed1000.npy,noisy_seed1000.parquet
noisy,1001,360,noisy_seed1001.npy,noisy_seed1001.parquet
noisy,1002,360,noisy_seed1002.npy,noisy_seed1002.parquet
noisy,1003,360,noisy_seed1003.npy,noisy_seed1003.parquet
noisy,1004,360,noisy_seed1004.npy,noisy_seed1004.parquet
byzantine,2000,360,byzantine_seed2000.npy,byzantine_seed2000.parquet
byzantine,2001,360,byzantine_seed2001.npy,byzantine_seed2001.parquet
byzantine,2002,360,byzantine_seed2002.npy,byzantine_seed2002.parquet
byzantine,2003,360,byzantine_seed2003.npy,byzantine_seed2003.parquet
byzantine,2004,360,byzantine_seed2004.npy,byzantine_seed2004.parquet
degrade,3000,360,degrade_seed3000.npy,degrade_seed3000.parquet
degrade,3001,360,degrade_seed3001.npy,degrade_seed3001.parquet
degrade,3002,360,degrade_seed3002.npy,degrade_seed3002.parquet
degrade,3003,360,degrade_seed3003.npy,degrade_seed3003.parquet
degrade,3004,360,degrade_seed3004.npy,degrade_seed3004.parquet
