attack,detector,seed,auc,auc_op
moment-matching,linear,0,0.5016017777777778,0.5016017777777778
moment-matching,static-univariate,0,0.5019137777777778,0.5019137777777778
moment-matching,memory-enabled,0,1.0,1.0
moment-matching,linear,1,0.48378133333333334,0.5162186666666666
moment-matching,static-univariate,1,0.5334484444444444,0.5334484444444444
moment-matching,memory-enabled,1,1.0,1.0
moment-matching,linear,2,0.4853893333333334,0.5146106666666665
moment-matching,static-univariate,2,0.5190764444444445,0.5190764444444445
moment-matching,memory-enabled,2,1.0,1.0
moment-matching,linear,3,0.4958053333333333,0.5041946666666667
moment-matching,static-univariate,3,0.49553155555555556,0.5044684444444445
moment-matching,memory-enabled,3,1.0,1.0
moment-matching,linear,4,0.4958591111111111,0.504140888888889
moment-matching,static-univariate,4,0.5191604444444444,0.5191604444444444
moment-matching,memory-enabled,4,1.0,1.0
moment-matching,linear,5,0.49185333333333336,0.5081466666666666
moment-matching,static-univariate,5,0.5141253333333333,0.5141253333333333
moment-matching,memory-enabled,5,1.0,1.0
moment-matching,linear,6,0.48401955555555554,0.5159804444444445
moment-matching,static-univariate,6,0.4909902222222222,0.5090097777777778
moment-matching,memory-enabled,6,1.0,1.0
moment-matching,linear,7,0.5048697777777778,0.5048697777777778
moment-matching,static-univariate,7,0.5240448888888889,0.5240448888888889
moment-matching,memory-enabled,7,1.0,1.0
moment-matching,linear,8,0.4929244444444444,0.5070755555555556
moment-matching,static-univariate,8,0.5046337777777777,0.5046337777777777
moment-matching,memory-enabled,8,1.0,1.0
moment-matching,linear,9,0.5107764444444445,0.5107764444444445
moment-matching,static-univariate,9,0.5183084444444445,0.5183084444444445
moment-matching,memory-enabled,9,1.0,1.0
moment-matching,linear,10,0.509336888888889,0.509336888888889
moment-matching,static-univariate,10,0.49989155555555553,0.5001084444444445
moment-matching,memory-enabled,10,1.0,1.0
moment-matching,linear,11,0.4876924444444445,0.5123075555555555
moment-matching,static-univariate,11,0.5147271111111111,0.5147271111111111
moment-matching,memory-enabled,11,1.0,1.0
moment-matching,linear,12,0.49253199999999997,0.507468
moment-matching,static-univariate,12,0.5137697777777778,0.5137697777777778
moment-matching,memory-enabled,12,1.0,1.0
moment-matching,linear,13,0.4880853333333333,0.5119146666666667
moment-matching,static-univariate,13,0.5161306666666666,0.5161306666666666
moment-matching,memory-enabled,13,1.0,1.0
moment-matching,linear,14,0.4954937777777778,0.5045062222222222
moment-matching,static-univariate,14,0.5051102222222221,0.5051102222222221
moment-matching,memory-enabled,14,1.0,1.0
moment-matching,linear,15,0.5050591111111111,0.5050591111111111
moment-matching,static-univariate,15,0.4951502222222222,0.5048497777777778
moment-matching,memory-enabled,15,1.0,1.0
moment-matching,linear,16,0.5147231111111111,0.5147231111111111
moment-matching,static-univariate,16,0.49977244444444446,0.5002275555555555
moment-matching,memory-enabled,16,1.0,1.0
moment-matching,linear,17,0.510084,0.510084
moment-matching,static-univariate,17,0.5110208888888889,0.5110208888888889
moment-matching,memory-enabled,17,1.0,1.0
moment-matching,linear,18,0.5026293333333334,0.5026293333333334
moment-matching,static-univariate,18,0.4889666666666666,0.5110333333333335
moment-matching,memory-enabled,18,1.0,1.0
moment-matching,linear,19,0.49328399999999994,0.506716
moment-matching,static-univariate,19,0.5160355555555556,0.5160355555555556
moment-matching,memory-enabled,19,1.0,1.0
moment-matching,linear,20,0.5137133333333334,0.5137133333333334
moment-matching,static-univariate,20,0.5027617777777778,0.5027617777777778
moment-matching,memory-enabled,20,1.0,1.0
moment-matching,linear,21,0.5118435555555556,0.5118435555555556
moment-matching,static-univariate,21,0.49645377777777777,0.5035462222222222
moment-matching,memory-enabled,21,1.0,1.0
moment-matching,linear,22,0.502584,0.502584
moment-matching,static-univariate,22,0.5104413333333333,0.5104413333333333
moment-matching,memory-enabled,22,1.0,1.0
moment-matching,linear,23,0.5040595555555555,0.5040595555555555
moment-matching,static-univariate,23,0.5323862222222222,0.5323862222222222
moment-matching,memory-enabled,23,1.0,1.0
moment-matching,linear,24,0.49497111111111114,0.5050288888888889
moment-matching,static-univariate,24,0.5039448888888889,0.5039448888888889
moment-matching,memory-enabled,24,1.0,1.0
moment-matching,linear,25,0.5108111111111111,0.5108111111111111
moment-matching,static-univariate,25,0.5069537777777777,0.5069537777777777
moment-matching,memory-enabled,25,1.0,1.0
moment-matching,linear,26,0.5092297777777777,0.5092297777777777
moment-matching,static-univariate,26,0.5040622222222222,0.5040622222222222
moment-matching,memory-enabled,26,1.0,1.0
moment-matching,linear,27,0.505376,0.505376
moment-matching,static-univariate,27,0.4998848888888889,0.5001151111111111
moment-matching,memory-enabled,27,1.0,1.0
moment-matching,linear,28,0.5047159999999999,0.5047159999999999
moment-matching,static-univariate,28,0.5396888888888889,0.5396888888888889
moment-matching,memory-enabled,28,1.0,1.0
moment-matching,linear,29,0.5123386666666667,0.5123386666666667
moment-matching,static-univariate,29,0.49614400000000003,0.503856
moment-matching,memory-enabled,29,1.0,1.0
burst-delay,linear,0,0.7689937777777778,0.7689937777777778
burst-delay,static-univariate,0,1.0,1.0
burst-delay,memory-enabled,0,0.8058746666666667,0.8058746666666667
burst-delay,linear,1,0.7606702222222221,0.7606702222222221
burst-delay,static-univariate,1,1.0,1.0
burst-delay,memory-enabled,1,0.8077831111111111,0.8077831111111111
burst-delay,linear,2,0.7613751111111111,0.7613751111111111
burst-delay,static-univariate,2,1.0,1.0
burst-delay,memory-enabled,2,0.8084884444444443,0.8084884444444443
burst-delay,linear,3,0.7671804444444446,0.7671804444444446
