attack,seed,mi_linear,mi_memory,gap
moment-matching,0,0.22153159636521808,0.6931471805404453,0.47161558417522725
moment-matching,1,0.21794394832007305,0.6931471805404453,0.4752032322203723
moment-matching,2,0.18909587860619226,0.6931471805404453,0.5040513019342531
moment-matching,3,0.21945174543034515,0.6931471805404453,0.47369543511010015
moment-matching,4,0.2189744686275317,0.6931471805404453,0.47417271191291366
moment-matching,5,0.19444731076779095,0.6931471805404453,0.49869986977265435
moment-matching,6,0.21755634921085112,0.6931471805404453,0.47559083132959423
moment-matching,7,0.21624205716914105,0.6931471805404453,0.4769051233713043
moment-matching,8,0.21999591267605867,0.6931471805404453,0.47315126786438666
moment-matching,9,0.2030030030242654,0.6931471805404453,0.4901441775161799
moment-matching,10,0.1946324115948408,0.6931471805404453,0.49851476894560454
moment-matching,11,0.1865602869436114,0.6931471805404453,0.506586893596834
moment-matching,12,0.19384465228544318,0.6931471805404453,0.49930252825500215
moment-matching,13,0.21859351934471466,0.6931471805404453,0.47455366119573067
moment-matching,14,0.18681531449336944,0.6931471805404453,0.5063318660470759
moment-matching,15,0.20573226473114747,0.6931471805404453,0.48741491580929786
moment-matching,16,0.21845006544869053,0.6931471805404453,0.47469711509175483
moment-matching,17,0.21952400730548555,0.6931471805404453,0.4736231732349598
moment-matching,18,0.21384498557060347,0.6931471805404453,0.47930219496984183
moment-matching,19,0.2183748624818398,0.6931471805404453,0.47477231805860554
moment-matching,20,0.2008101600651014,0.6931471805404453,0.4923370204753439
moment-matching,21,0.22147889806750717,0.6931471805404453,0.4716682824729381
moment-matching,22,0.20056058796935575,0.6931471805404453,0.4925865925710896
moment-matching,23,0.19574153601469277,0.6931471805404453,0.49740564452575253
moment-matching,24,0.21839793048927433,0.6931471805404453,0.47474925005117097
moment-matching,25,0.21704252951075378,0.6931471805404453,0.4761046510296916
moment-matching,26,0.21846595363188157,0.6931471805404453,0.47468122690856374
moment-matching,27,0.20238595497536296,0.6931471805404453,0.4907612255650824
moment-matching,28,0.2189125403992564,0.6931471805404453,0.47423464014118893
moment-matching,29,0.21730536919044854,0.6931471805404453,0.4758418113499968
burst-delay,0,0.005830773512128372,0.39530234217266585,0.3894715686605375
burst-delay,1,0.008983707740202854,0.4021339329973156,0.39315022525711274
burst-delay,2,0.010045208644617318,0.4032465816522758,0.39320137300765845
burst-delay,3,0.007014756526630754,0.40523343037506704,0.3982186738484363
burst-delay,4,0.005710004659256992,0.4031453686006214,0.3974353639413644
burst-delay,5,0.008048950274589661,0.398183668722137,0.3901347184475473
burst-delay,6,0.009956721396711771,0.39345012961720094,0.38349340822048916
burst-delay,7,0.0047121750221297155,0.4112388333708519,0.40652665834872215
burst-delay,8,0.004359908938513904,0.3961117480775317,0.3917518391390178
burst-delay,9,0.00591278716605416,0.41703303829139404,0.4111202511253399
burst-delay,10,0.00457300386262836,0.39858753178439305,0.39401452792176467
burst-delay,11,0.006711913920090195,0.4048988587635269,0.3981869448434367
burst-delay,12,0.006787052942757826,0.3866819940762245,0.37989494113346667
burst-delay,13,0.008872260510928789,0.40753908062963673,0.39866682011870797
burst-delay,14,0.010365467893295937,0.40403881195191227,0.3936733440586163
burst-delay,15,0.008142573318130958,0.38972726036770405,0.3815846870495731
burst-delay,16,0.0041226212758094655,0.40148394303624557,0.3973613217604361
burst-delay,17,0.0032097621803448893,0.4113793402237435,0.4081695780433986
burst-delay,18,0.0071971536858018445,0.4017688773246783,0.39457172363887644
burst-delay,19,0.006714773543346115,0.40989622436854983,0.40318145082520374
burst-delay,20,0.006793419432595407,0.4036416016604013,0.3968481822278059
burst-delay,21,0.007261651618849873,0.39184091784799757,0.3845792662291477
burst-delay,22,0.004327077683289897,0.4064052140787714,0.4020781363954815
burst-delay,23,0.008088390247998463,0.40971236979903064,0.4016239795510322
burst-delay,24,0.006115429715717219,0.3920305935504966,0.38591516383477936
burst-delay,25,0.005607471498463424,0.37729056728975296,0.37168309579128955
burst-delay,26,0.006536778017706226,0.3908152197939918,0.38427844177628556
burst-delay,27,0.006062485446129523,0.40360838900994006,0.39754590356381053
burst-delay,28,0.0034957633251482857,0.41684876181110836,0.4133529984859601
burst-delay,29,0.0072040565313611325,0.39427423609395634,0.3870701795625952
selective-lag,0,0.41350814222734683,0.0031629856319933753,-0.4103451565953535
selective-lag,1,0.44473188537998964,0.004694174768507613,-0.44003771061148206
selective-lag,2,0.4143612346342916,0.004637813417406404,-0.4097234212168852
selective-lag,3,0.4100760762581307,0.0053398872898010544,-0.40473618896832964
selective-lag,4,0.43215391317854274,0.0018008161183585391,-0.4303530970601842
selective-lag,5,0.4016605758021516,0.0048354371433211646,-0.3968251386588304
selective-lag,6,0.42782417604552425,0.006919876407821083,-0.42090429963770315
selective-lag,7,0.4418923730662616,0.0054833590553646045,-0.436409014010897
selective-lag,8,0.39672759199332575,0.005501931045296432,-0.3912256609480293
selective-lag,9,0.4114664312282565,0.004891077021048641,-0.40657535420720786
selective-lag,10,0.395257679655411,0.006422286191482286,-0.3888353934639287
selective-lag,11,0.404379451937786,0.004399309546778382,-0.39998014239100765
selective-lag,12,0.4080994973231249,0.0029466522720654506,-0.4051528450510594
selective-lag,13,0.43217357482828933,0.004970383503270856,-0.4272031913250185
selective-lag,14,0.41278916928790244,0.00572891499118332,-0.4070602542967191
selective-lag,15,0.4091139018057266,0.0024046967623358876,-0.4067092050433907
selective-lag,16,0.3861136681689058,0.004572054309508123,-0.38154161385939767
selective-lag,17,0.4129212966112738,0.006047609361922446,-0.40687368724935136
selective-lag,18,0.42408322854656,0.004135467440263866,-0.4199477611062961
selective-lag,19,0.4052855057500724,0.00582239300504059,-0.39946311274503177
selective-lag,20,0.4419042017706508,0.0055085607370085315,-0.4363956410336423
selective-lag,21,0.4076445238753729,0.003825513133266069,-0.40381901074210685
selective-lag,22,0.3869189639554984,0.005536148364830295,-0.3813828155906681
selective-lag,23,0.42438429848969556,0.005154679291085202,-0.41922961919861035
selective-lag,24,0.4310378348104371,0.007192210911906718,-0.4238456238985304
selective-lag,25,0.42118636112515173,0.0052420924730138575,-0.41594426865213785
selective-lag,26,0.43206429726995355,0.005704565811574261,-0.4263597314583793
selective-lag,27,0.4054680970400041,0.0044957477855453,-0.4009723492544588
selective-lag,28,0.42198834852895867,0.005014417938307206,-0.41697393059065146
selective-lag,29,0.39821407479759724,0.003760271279982367,-0.3944538035176149
