W,seed,auc
1,0,0.5061555555555556
1,1,0.4933182222222222
1,2,0.4883168888888889
1,3,0.5084768888888889
1,4,0.49989155555555553
1,5,0.48526977777777774
1,6,0.4893217777777778
1,7,0.512512
1,8,0.5131395555555556
1,9,0.5018191111111111
1,10,0.49307511111111113
1,11,0.512544
1,12,0.5189413333333334
1,13,0.4779466666666667
1,14,0.49579466666666666
1,15,0.4938746666666667
1,16,0.5023608888888889
1,17,0.5092271111111111
1,18,0.4947631111111111
1,19,0.49904044444444445
1,20,0.4912137777777778
1,21,0.4976008888888889
1,22,0.5023333333333333
1,23,0.5083324444444445
1,24,0.49148933333333333
1,25,0.4946977777777778
1,26,0.4996431111111111
1,27,0.4912195555555556
1,28,0.5102395555555556
1,29,0.5150440000000001
8,0,0.979168888888889
8,1,0.9741164444444445
8,2,0.9781582222222223
8,3,0.977012
8,4,0.974844
8,5,0.9787675555555556
8,6,0.976172888888889
8,7,0.9786
8,8,0.975868
8,9,0.9783386666666667
8,10,0.9822626666666666
8,11,0.980140888888889
8,12,0.9783142222222222
8,13,0.980307111111111
8,14,0.97766
8,15,0.9810888888888889
8,16,0.9807471111111111
8,17,0.9715706666666666
8,18,0.9796106666666666
8,19,0.9775644444444443
8,20,0.9792444444444445
8,21,0.9797115555555556
8,22,0.9785191111111111
8,23,0.975196
8,24,0.9773062222222223
8,25,0.9746355555555555
8,26,0.9798213333333333
8,27,0.9790422222222223
8,28,0.9791324444444445
8,29,0.9803924444444445
32,0,1.0
32,1,1.0
32,2,1.0
32,3,1.0
32,4,1.0
32,5,1.0
32,6,1.0
32,7,1.0
32,8,1.0
32,9,1.0
32,10,1.0
32,11,1.0
32,12,1.0
32,13,1.0
32,14,1.0
32,15,1.0
32,16,1.0
32,17,1.0
32,18,1.0
32,19,1.0
32,20,1.0
32,21,1.0
32,22,1.0
32,23,1.0
32,24,1.0
32,25,1.0
32,26,1.0
32,27,1.0
32,28,1.0
32,29,1.0
64,0,1.0
64,1,1.0
64,2,1.0
64,3,1.0
64,4,1.0
64,5,1.0
64,6,1.0
64,7,1.0
64,8,1.0
64,9,1.0
64,10,1.0
64,11,1.0
64,12,1.0
64,13,1.0
64,14,1.0
64,15,1.0
64,16,1.0
64,17,1.0
64,18,1.0
64,19,1.0
64,20,1.0
64,21,1.0
64,22,1.0
64,23,1.0
64,24,1.0
64,25,1.0
64,26,1.0
64,27,1.0
64,28,1.0
64,29,1.0
128,0,1.0
128,1,1.0
128,2,1.0
128,3,1.0
128,4,1.0
128,5,1.0
128,6,1.0
128,7,1.0
128,8,1.0
128,9,1.0
128,10,1.0
128,11,1.0
128,12,1.0
128,13,1.0
128,14,1.0
128,15,1.0
128,16,1.0
128,17,1.0
128,18,1.0
128,19,1.0
128,20,1.0
128,21,1.0
128,22,1.0
128,23,1.0
128,24,1.0
128,25,1.0
128,26,1.0
128,27,1.0
128,28,1.0
128,29,1.0
