loss,jitter,seed,auc
0.0,1.0,0,0.9990611111111111
0.0,1.0,1,0.9982444444444445
0.0,1.0,2,0.9969805555555555
0.0,1.0,3,0.9988111111111111
0.0,1.0,4,0.9983777777777778
0.0,1.0,5,0.9968972222222222
0.0,1.0,6,0.9968666666666667
0.0,1.0,7,0.9984333333333333
0.0,1.0,8,0.9990027777777778
0.0,1.0,9,0.9984194444444444
0.0,1.0,10,0.9989888888888889
0.0,1.0,11,0.9989111111111111
0.0,1.0,12,0.9977694444444445
0.0,1.0,13,0.9972638888888888
0.0,1.0,14,0.9981249999999999
0.0,1.0,15,0.9977694444444445
0.0,1.0,16,0.9970888888888889
0.0,1.0,17,0.9979083333333333
0.0,1.0,18,0.9977527777777777
0.0,1.0,19,0.9984861111111111
0.0,1.0,20,0.9977194444444444
0.0,1.0,21,0.9974666666666666
0.0,1.0,22,0.9990277777777777
0.0,1.0,23,0.9990138888888889
0.0,1.0,24,0.9973138888888888
0.0,1.0,25,0.9972972222222222
0.0,1.0,26,0.9974833333333333
0.0,1.0,27,0.9978611111111111
0.0,1.0,28,0.9969305555555555
0.0,1.0,29,0.9983638888888889
0.0,10.0,0,0.7838388888888889
0.0,10.0,1,0.7618
0.0,10.0,2,0.7844472222222223
0.0,10.0,3,0.7691277777777777
0.0,10.0,4,0.7633805555555555
0.0,10.0,5,0.7614277777777778
0.0,10.0,6,0.778625
0.0,10.0,7,0.7964166666666667
0.0,10.0,8,0.7797222222222222
0.0,10.0,9,0.7728472222222222
0.0,10.0,10,0.7668972222222222
0.0,10.0,11,0.7707805555555556
0.0,10.0,12,0.7585611111111111
0.0,10.0,13,0.7667861111111112
0.0,10.0,14,0.7619166666666667
0.0,10.0,15,0.7821388888888888
0.0,10.0,16,0.7624722222222222
0.0,10.0,17,0.7643638888888888
0.0,10.0,18,0.7922305555555555
0.0,10.0,19,0.75185
0.0,10.0,20,0.753575
0.0,10.0,21,0.7666416666666667
0.0,10.0,22,0.7766083333333333
0.0,10.0,23,0.7731722222222221
0.0,10.0,24,0.7870472222222222
0.0,10.0,25,0.7748722222222222
0.0,10.0,26,0.7481972222222222
0.0,10.0,27,0.7760750000000001
0.0,10.0,28,0.7605166666666667
0.0,10.0,29,0.7614722222222222
0.0,30.0,0,0.5102
0.0,30.0,1,0.5242444444444444
0.0,30.0,2,0.5262527777777777
0.0,30.0,3,0.5363444444444444
0.0,30.0,4,0.5144277777777778
0.0,30.0,5,0.5246
0.0,30.0,6,0.5264472222222223
0.0,30.0,7,0.5220083333333333
0.0,30.0,8,0.5157194444444444
0.0,30.0,9,0.5154
0.0,30.0,10,0.5131194444444445
0.0,30.0,11,0.5025055555555555
0.0,30.0,12,0.5319305555555556
0.0,30.0,13,0.5109694444444445
0.0,30.0,14,0.5233027777777777
0.0,30.0,15,0.5115805555555555
0.0,30.0,16,0.50815
0.0,30.0,17,0.5301638888888889
0.0,30.0,18,0.5356
0.0,30.0,19,0.519463888888889
0.0,30.0,20,0.5084111111111111
0.0,30.0,21,0.5048833333333334
0.0,30.0,22,0.5489611111111111
0.0,30.0,23,0.5155777777777777
0.0,30.0,24,0.5160361111111111
0.0,30.0,25,0.50115
0.0,30.0,26,0.5265666666666666
0.0,30.0,27,0.5221527777777777
0.0,30.0,28,0.5035361111111112
0.0,30.0,29,0.5020416666666667
0.02,1.0,0,0.9621916666666667
0.02,1.0,1,0.9574194444444445
0.02,1.0,2,0.9602305555555556
0.02,1.0,3,0.9711972222222223
0.02,1.0,4,0.9597055555555556
0.02,1.0,5,0.9535972222222222
0.02,1.0,6,0.9558722222222222
0.02,1.0,7,0.9701611111111111
0.02,1.0,8,0.9685027777777778
0.02,1.0,9,0.9682472222222223
0.02,1.0,10,0.9626527777777778
0.02,1.0,11,0.9653138888888889
0.02,1.0,12,0.9585944444444444
0.02,1.0,13,0.9686916666666666
0.02,1.0,14,0.959775
0.02,1.0,15,0.9651194444444444
0.02,1.0,16,0.9576833333333333
0.02,1.0,17,0.9589805555555555
0.02,1.0,18,0.9640055555555556
0.02,1.0,19,0.9504388888888888
0.02,1.0,20,0.9622805555555556
0.02,1.0,21,0.9550361111111111
0.02,1.0,22,0.9738722222222223
0.02,1.0,23,0.9632166666666667
0.02,1.0,24,0.9656833333333333
0.02,1.0,25,0.9575166666666667
0.02,1.0,26,0.9505805555555555
0.02,1.0,27,0.9583611111111111
0.02,1.0,28,0.9506777777777777
0.02,1.0,29,0.9653611111111111
0.02,10.0,0,0.745738888888889
0.02,10.0,1,0.7179916666666667
0.02,10.0,2,0.7412361111111111
0.02,10.0,3,0.7316611111111111
0.02,10.0,4,0.7371222222222222
0.02,10.0,5,0.7291694444444445
0.02,10.0,6,0.7213666666666667
0.02,10.0,7,0.7632555555555556
0.02,10.0,8,0.7466777777777778
0.02,10.0,9,0.7360916666666666
0.02,10.0,10,0.7186
0.02,10.0,11,0.7273111111111111
0.02,10.0,12,0.7262555555555555
0.02,10.0,13,0.7317027777777778
0.02,10.0,14,0.7130111111111112
0.02,10.0,15,0.7433888888888889
0.02,10.0,16,0.724125
0.02,10.0,17,0.7112583333333333
0.02,10.0,18,0.750261111111111
0.02,10.0,19,0.713175
0.02,10.0,20,0.7143055555555555
0.02,10.0,21,0.7187194444444445
0.02,10.0,22,0.7443888888888889
0.02,10.0,23,0.7517611111111111
0.02,10.0,24,0.7457055555555556
0.02,10.0,25,0.7317777777777777
0.02,10.0,26,0.7117361111111111
0.02,10.0,27,0.7331388888888889
0.02,10.0,28,0.7092694444444445
0.02,10.0,29,0.7393805555555555
0.02,30.0,0,0.5057
0.02,30.0,1,0.5205166666666666
0.02,30.0,2,0.5220027777777778
0.02,30.0,3,0.5267277777777778
0.02,30.0,4,0.5343222222222223
0.02,30.0,5,0.5337583333333333
0.02,30.0,6,0.5133694444444444
0.02,30.0,7,0.527938888888889
0.02,30.0,8,0.5159666666666667
0.02,30.0,9,0.5105555555555555
0.02,30.0,10,0.5121555555555556
0.02,30.0,11,0.5095388888888888
0.02,30.0,12,0.5086277777777778
0.02,30.0,13,0.5122416666666667
0.02,30.0,14,0.5079611111111111
0.02,30.0,15,0.5112861111111111
0.02,30.0,16,0.5273055555555555
0.02,30.0,17,0.5039027777777778
0.02,30.0,18,0.5246777777777778
0.02,30.0,19,0.5228055555555555
0.02,30.0,20,0.5174277777777778
0.02,30.0,21,0.5107472222222222
0.02,30.0,22,0.5450527777777778
0.02,30.0,23,0.5130055555555555
0.02,30.0,24,0.5198944444444444
0.02,30.0,25,0.5063583333333334
0.02,30.0,26,0.5330694444444444
0.02,30.0,27,0.5200527777777778
0.02,30.0,28,0.5045222222222222
0.02,30.0,29,0.5303694444444444
0.05,1.0,0,0.8855916666666667
0.05,1.0,1,0.8699861111111111
0.05,1.0,2,0.8797611111111111
0.05,1.0,3,0.8801472222222222
0.05,1.0,4,0.8924388888888889
0.05,1.0,5,0.8656583333333333
0.05,1.0,6,0.8858277777777778
0.05,1.0,7,0.8844388888888889
0.05,1.0,8,0.8939194444444445
0.05,1.0,9,0.8830361111111111
0.05,1.0,10,0.8789083333333333
0.05,1.0,11,0.8980472222222222
0.05,1.0,12,0.8859416666666666
0.05,1.0,13,0.8793277777777778
0.05,1.0,14,0.8781361111111111
0.05,1.0,15,0.8880861111111111
0.05,1.0,16,0.8930694444444445
0.05,1.0,17,0.8760638888888889
0.05,1.0,18,0.9051194444444445
0.05,1.0,19,0.8600277777777778
0.05,1.0,20,0.8911222222222223
0.05,1.0,21,0.8653972222222222
0.05,1.0,22,0.8906694444444444
0.05,1.0,23,0.8853444444444445
0.05,1.0,24,0.8905861111111111
0.05,1.0,25,0.8764777777777778
0.05,1.0,26,0.8801277777777778
0.05,1.0,27,0.8835638888888888
0.05,1.0,28,0.8599027777777778
0.05,1.0,29,0.887625
0.05,10.0,0,0.6803055555555555
0.05,10.0,1,0.6678888888888889
0.05,10.0,2,0.6864555555555556
0.05,10.0,3,0.6767027777777779
0.05,10.0,4,0.6918833333333334
0.05,10.0,5,0.6628444444444443
0.05,10.0,6,0.6663444444444444
0.05,10.0,7,0.6871222222222222
0.05,10.0,8,0.7059861111111111
0.05,10.0,9,0.6710916666666666
0.05,10.0,10,0.6850361111111112
0.05,10.0,11,0.6768861111111111
0.05,10.0,12,0.6663305555555555
0.05,10.0,13,0.6989666666666667
0.05,10.0,14,0.6759
0.05,10.0,15,0.6920944444444445
0.05,10.0,16,0.6742194444444445
0.05,10.0,17,0.6880416666666667
0.05,10.0,18,0.6966138888888889
0.05,10.0,19,0.6690222222222222
0.05,10.0,20,0.6548888888888889
0.05,10.0,21,0.6915555555555556
0.05,10.0,22,0.6764138888888889
0.05,10.0,23,0.6939277777777778
0.05,10.0,24,0.6992305555555556
0.05,10.0,25,0.6692638888888889
0.05,10.0,26,0.6821833333333334
0.05,10.0,27,0.6961611111111111
0.05,10.0,28,0.6581777777777778
0.05,10.0,29,0.6959083333333334
0.05,30.0,0,0.5237888888888889
0.05,30.0,1,0.5117111111111111
0.05,30.0,2,0.5165527777777777
0.05,30.0,3,0.5266972222222223
0.05,30.0,4,0.5097416666666666
0.05,30.0,5,0.5268888888888889
0.05,30.0,6,0.5135611111111111
0.05,30.0,7,0.5074305555555556
0.05,30.0,8,0.5168611111111111
0.05,30.0,9,0.5102861111111111
0.05,30.0,10,0.5005972222222221
0.05,30.0,11,0.5116194444444444
0.05,30.0,12,0.5163305555555555
0.05,30.0,13,0.5147166666666667
0.05,30.0,14,0.5038027777777778
0.05,30.0,15,0.5011611111111112
0.05,30.0,16,0.5227444444444445
0.05,30.0,17,0.5227111111111111
0.05,30.0,18,0.5293166666666667
0.05,30.0,19,0.500261111111111
0.05,30.0,20,0.520925
0.05,30.0,21,0.5164694444444444
0.05,30.0,22,0.5277277777777778
0.05,30.0,23,0.5031722222222221
0.05,30.0,24,0.5242527777777778
0.05,30.0,25,0.5177250000000001
0.05,30.0,26,0.5368055555555555
0.05,30.0,27,0.5189083333333333
0.05,30.0,28,0.5108694444444444
0.05,30.0,29,0.5209777777777778
