pred_auc,seed,mean_failover,gain_pct,safety_violations
1.0,0,106.17066623457396,59.00746477429577,0
1.0,1,103.13510640273859,60.17949559739823,0
1.0,2,105.05634682537975,59.4377039284248,0
1.0,3,104.64323324963904,59.597207239521616,0
1.0,4,106.90818366658168,58.722709009041814,0
1.0,5,102.31392809119988,60.496552860540575,0
1.0,6,103.98139274114324,59.85274411538872,0
1.0,7,103.71636711736828,59.95507061105471,0
1.0,8,105.0451194334096,59.44203882879939,0
1.0,9,104.27036589194313,59.74117147029223,0
1.0,10,101.62119667603885,60.764016727398136,0
1.0,11,102.0032970799648,60.61648761391321,0
1.0,12,99.80427071588748,61.46553254212839,0
1.0,13,105.6887466531512,59.19353411075243,0
1.0,14,102.82558231182882,60.29900296840585,0
1.0,15,104.46706201160771,59.66522702254529,0
1.0,16,103.32197414524721,60.10734588986594,0
1.0,17,103.11038090302111,60.18904212238567,0
1.0,18,104.07865994092279,59.81518921199892,0
1.0,19,103.81223058106785,59.918057690707386,0
1.0,20,103.93382690647047,59.87110930252105,0
1.0,21,106.85546972458849,58.743061882398266,0
1.0,22,102.0376258852879,60.603233248923594,0
1.0,23,104.44692565200718,59.673001678761715,0
1.0,24,103.32625937242888,60.10569136199658,0
1.0,25,100.14042565391857,61.335742990765034,0
1.0,26,104.73206144902892,59.562910637440574,0
1.0,27,104.09207278829284,59.81001050645063,0
1.0,28,106.02570381794493,59.06343481932628,0
1.0,29,102.20425461205363,60.538897833183924,0
0.95,0,122.0962661697601,52.858584490440116,0
0.95,1,118.6053723631494,54.20641993700795,0
0.95,2,120.81479884918666,53.353359517688546,0
0.95,3,120.33971823708491,53.536788325449834,0
0.95,4,122.94441121656895,52.5311153603981,0
0.95,5,117.66101730487992,54.571035789621654,0
0.95,6,119.57860165231473,53.83065573269702,0
0.95,7,119.27382218497354,53.94833120271292,0
0.95,8,120.80188734842108,53.358344653119275,0
0.95,9,119.9109207757346,53.70234719083606,0
0.95,10,116.86437617744468,54.878619236507845,0
0.95,11,117.30379164195952,54.70896075600018,0
0.95,12,114.77491132327063,55.685362423447636,0
0.95,13,121.54205865112388,53.0725642273653,0
0.95,14,118.24941965860314,54.34385341366674,0
0.95,15,120.13712131334887,53.61501107592708,0
0.95,16,118.8202702670343,54.12344777334584,0
0.95,17,118.57693803847431,54.21739844074351,0
0.95,18,119.69045893206119,53.78746759379877,0
0.95,19,119.38406516822802,53.90576634431351,0
0.95,20,119.52390094244103,53.851775697899214,0
0.95,21,122.88379018327676,52.554521164758015,0
0.95,22,117.3432697680811,54.69371823626213,0
0.95,23,120.11396449980828,53.623951930575956,0
0.95,24,118.82519827829321,54.12154506629606,0
0.95,25,115.16148950200638,55.53610443937978,0
0.95,26,120.44187066638328,53.497347233056644,0
0.95,27,119.70588370653681,53.781512082418224,0
0.95,28,121.92955939063668,52.922950042225224,0
0.95,29,117.53489280386168,54.61973250816151,0
0.8,0,169.87306597531833,34.41194363887323,0
0.8,1,165.01617024438173,36.28719295583718,0
0.8,2,168.09015492060757,35.1003262854797,0
0.8,3,167.4291731994224,35.355531583234594,0
0.8,4,171.0530938665307,33.95633441446691,0
0.8,5,163.7022849459198,36.79448457686493,0
0.8,6,166.37022838582914,35.76439058462196,0
0.8,7,165.94618738778922,35.92811297768756,0
0.8,8,168.07219109345536,35.10726212607901,0
0.8,9,166.83258542710897,35.58587435246758,0
0.8,10,162.5939146816621,37.22242676383702,0
0.8,11,163.20527532794367,36.98638018226113,0
0.8,12,159.68683314541997,38.34485206740542,0
0.8,13,169.10199464504186,34.70965457720392,0
0.8,14,164.52093169892606,36.478404749449396,0
0.8,15,167.1472992185723,35.46436323607247,0
0.8,16,165.31515863239548,36.171753423785525,0
0.8,17,164.97660944483377,36.302467395817075,0
0.8,18,166.52585590547642,35.70430273919829,0
0.8,19,166.09956892970854,35.86889230513184,0
0.8,20,166.2941230503527,35.7937748840337,0
0.8,21,170.96875155934157,33.98889901183723,0
0.8,22,163.26020141646057,36.965173198277775,0
0.8,23,167.11508104321146,35.476802686018736,0
0.8,24,165.32201499588618,36.16910617919452,0
0.8,25,160.2246810462697,38.13718878522406,0
0.8,26,167.57129831844628,35.30065701990491,0
0.8,27,166.54731646126854,35.696016810321034,0
0.8,28,169.64112610871183,34.50149571092207,0
0.8,29,163.52680737928574,36.862236533094304,0
0.5,0,265.426665586435,-2.4813380642606093,0
0.5,1,257.8377660068465,0.4487389934955624,0
0.5,2,262.64086706344926,-1.4057401789379396,0
0.5,3,261.6080831240976,-1.0069819011959915,0
0.5,4,267.27045916645415,-3.193227477395423,0
0.5,5,255.78482022799975,1.2413821513514498,0
0.5,6,259.9534818528581,-0.36813971152822006,0
0.5,7,259.29091779342065,-0.1123234723631841,0
0.5,8,262.61279858352407,-1.3949029280015706,0
0.5,9,260.6759147298578,-0.6470713242694296,0
0.5,10,254.05299169009703,1.910041818495355,0
