seed,auc_vanilla,auc_NW1_mitigation,auc_oracle
0,0.9663875,0.99560625,0.9943125
1,0.9684875,0.9970125,0.9964
2,0.9589125000000001,0.9959187500000001,0.9959250000000001
3,0.96674375,0.99825625,0.99821875
4,0.96961875,0.99394375,0.9927
5,0.965375,0.99485625,0.99514375
6,0.960825,0.99550625,0.9961375
7,0.9720375,0.99565,0.9957
8,0.97275,0.997825,0.99849375
9,0.978325,0.9967,0.9967125
10,0.9837750000000001,0.997525,0.9978625
11,0.974425,0.99793125,0.99864375
12,0.97226875,0.99500625,0.99488125
13,0.962725,0.99695625,0.9968125
14,0.97374375,0.997525,0.997625
15,0.9654375,0.99610625,0.9966375000000001
16,0.96565625,0.9949875,0.99580625
17,0.9631125,0.99605,0.99610625
18,0.967625,0.9969125,0.99781875
19,0.9683125,0.996325,0.99578125
20,0.963975,0.99505,0.9948125
21,0.97055,0.9968312500000001,0.9972125000000001
22,0.96513125,0.99465,0.99713125
23,0.96985,0.9963875,0.9960875
24,0.9606875,0.9943125,0.99445625
25,0.9727687500000001,0.99719375,0.996425
26,0.96953125,0.99534375,0.9959625
27,0.97053125,0.99414375,0.9939875
28,0.96921875,0.99614375,0.9963375
29,0.97288125,0.99485625,0.99370625
