ablate,seed,auc
none,0,0.998212
none,1,0.99832
none,2,0.998108
none,3,0.99786
none,4,0.999256
none,5,0.99744
none,6,0.997584
none,7,0.996916
none,8,0.998504
none,9,0.9983
none,10,0.999544
none,11,0.99758
none,12,0.998588
none,13,0.996696
none,14,0.998088
none,15,0.99656
none,16,0.998312
none,17,0.998432
none,18,0.997388
none,19,0.99874
none,20,0.998384
none,21,0.997932
none,22,0.998072
none,23,0.998524
none,24,0.998296
none,25,0.998268
none,26,0.997376
none,27,0.998644
none,28,0.996224
none,29,0.997972
A_latency,0,0.990564
A_latency,1,0.992384
A_latency,2,0.990632
A_latency,3,0.989408
A_latency,4,0.995604
A_latency,5,0.9901719999999999
A_latency,6,0.989048
A_latency,7,0.990488
A_latency,8,0.991644
A_latency,9,0.992296
A_latency,10,0.993212
A_latency,11,0.988072
A_latency,12,0.9931
A_latency,13,0.988088
A_latency,14,0.990792
A_latency,15,0.986472
A_latency,16,0.992928
A_latency,17,0.9936159999999999
A_latency,18,0.989308
A_latency,19,0.991628
A_latency,20,0.992676
A_latency,21,0.992756
A_latency,22,0.990188
A_latency,23,0.992096
A_latency,24,0.989976
A_latency,25,0.991088
A_latency,26,0.98658
A_latency,27,0.993104
A_latency,28,0.985652
A_latency,29,0.9929479999999999
B_reliab,0,0.992588
B_reliab,1,0.990092
B_reliab,2,0.989496
B_reliab,3,0.990364
B_reliab,4,0.994048
B_reliab,5,0.99152
B_reliab,6,0.9901
B_reliab,7,0.991988
B_reliab,8,0.991488
B_reliab,9,0.992516
B_reliab,10,0.991792
B_reliab,11,0.990004
B_reliab,12,0.991428
B_reliab,13,0.986672
B_reliab,14,0.989472
B_reliab,15,0.988436
B_reliab,16,0.992144
B_reliab,17,0.990788
B_reliab,18,0.991984
B_reliab,19,0.993788
B_reliab,20,0.993268
B_reliab,21,0.990036
B_reliab,22,0.991992
B_reliab,23,0.991812
B_reliab,24,0.991484
B_reliab,25,0.99276
B_reliab,26,0.990088
B_reliab,27,0.990208
B_reliab,28,0.984404
B_reliab,29,0.986984
C_elect,0,0.991652
C_elect,1,0.9919
C_elect,2,0.9935
C_elect,3,0.993768
C_elect,4,0.993072
C_elect,5,0.990124
C_elect,6,0.993
C_elect,7,0.988332
C_elect,8,0.988796
C_elect,9,0.991548
C_elect,10,0.991184
C_elect,11,0.988156
C_elect,12,0.9914
C_elect,13,0.989452
C_elect,14,0.990768
C_elect,15,0.989804
C_elect,16,0.991876
C_elect,17,0.9875039999999999
C_elect,18,0.9852879999999999
C_elect,19,0.992024
C_elect,20,0.99374
C_elect,21,0.989364
C_elect,22,0.991588
C_elect,23,0.9908399999999999
C_elect,24,0.992516
C_elect,25,0.99096
C_elect,26,0.99094
C_elect,27,0.991856
C_elect,28,0.988576
C_elect,29,0.989432
