pair,seed,auc_linear,auc_quadratic
gauss-laplace,0,0.5028904999999999,0.58500525
gauss-laplace,1,0.50114375,0.5641765000000001
gauss-laplace,2,0.5169254999999999,0.5669765000000001
gauss-laplace,3,0.512967,0.5611015
gauss-laplace,4,0.50126,0.5580400000000001
gauss-laplace,5,0.5132795,0.55662325
gauss-laplace,6,0.51920875,0.57776675
gauss-laplace,7,0.5189085,0.56294125
gauss-laplace,8,0.51142325,0.5821365000000001
gauss-laplace,9,0.5075345,0.5811775
gauss-laplace,10,0.51089125,0.5764495000000001
gauss-laplace,11,0.50522225,0.5775180000000001
gauss-laplace,12,0.5050215,0.5733755
gauss-laplace,13,0.5065314999999999,0.56962975
gauss-laplace,14,0.508996,0.56591225
gauss-laplace,15,0.5100702500000001,0.57529725
gauss-laplace,16,0.5074725,0.58044825
gauss-laplace,17,0.5019754999999999,0.57805425
gauss-laplace,18,0.50216325,0.5739814999999999
gauss-laplace,19,0.50020675,0.5575425
gauss-laplace,20,0.50921525,0.57879925
gauss-laplace,21,0.50165475,0.5572794999999999
gauss-laplace,22,0.50093,0.55823475
gauss-laplace,23,0.506694,0.579336
gauss-laplace,24,0.51802175,0.57661575
gauss-laplace,25,0.5077195,0.575653
gauss-laplace,26,0.50096875,0.57679925
gauss-laplace,27,0.5107237499999999,0.56672775
gauss-laplace,28,0.5092725,0.575214
gauss-laplace,29,0.50046075,0.5697099999999999
gauss-mixture,0,0.50661175,0.500876
gauss-mixture,1,0.5052345,0.5003647499999999
gauss-mixture,2,0.5288035,0.50742275
gauss-mixture,3,0.5024835,0.507417
gauss-mixture,4,0.50538175,0.5016195
gauss-mixture,5,0.50488225,0.518326
gauss-mixture,6,0.5062387500000001,0.50197475
gauss-mixture,7,0.51011825,0.512355
gauss-mixture,8,0.5040485,0.5008755
gauss-mixture,9,0.50568,0.50138925
gauss-mixture,10,0.503012,0.51281775
gauss-mixture,11,0.500494,0.512413
gauss-mixture,12,0.5001880000000001,0.5019425
gauss-mixture,13,0.50126125,0.50326
gauss-mixture,14,0.5061675,0.5104467500000001
gauss-mixture,15,0.5003074999999999,0.5021165
gauss-mixture,16,0.50855875,0.5010195
gauss-mixture,17,0.5039250000000001,0.5022267499999999
gauss-mixture,18,0.5028392500000001,0.5022147499999999
gauss-mixture,19,0.5070807500000001,0.51072875
gauss-mixture,20,0.5166412499999999,0.50231425
gauss-mixture,21,0.5035069999999999,0.52066625
gauss-mixture,22,0.5100745,0.50012225
gauss-mixture,23,0.5099297500000001,0.50762625
gauss-mixture,24,0.5051964999999999,0.5047445
gauss-mixture,25,0.5076667499999999,0.5069045
gauss-mixture,26,0.502355,0.505311
gauss-mixture,27,0.510331,0.52158875
gauss-mixture,28,0.50481025,0.50569725
gauss-mixture,29,0.50207675,0.5002347500000001
