coincidence,seed,auc_vanilla,auc_NW1
0.0,0,0.9820625000000001,0.99741875
0.0,1,0.97694375,0.99663125
0.0,2,0.9786875,0.9969750000000001
0.0,3,0.98469375,0.99898125
0.0,4,0.98628125,0.9950625000000001
0.0,5,0.986975,0.99676875
0.0,6,0.9808125,0.99701875
0.0,7,0.98676875,0.9970375
0.0,8,0.9877875,0.9983562500000001
0.0,9,0.986425,0.99710625
0.0,10,0.98755,0.99869375
0.0,11,0.98931875,0.998525
0.0,12,0.9852000000000001,0.9966125
0.0,13,0.980525,0.9979125
0.0,14,0.98761875,0.99789375
0.0,15,0.979375,0.99745625
0.0,16,0.9767187500000001,0.99675
0.0,17,0.9784437500000001,0.99755
0.0,18,0.98645,0.99805
0.0,19,0.9871625,0.99734375
0.0,20,0.9839187500000001,0.9966625
0.0,21,0.98226875,0.99814375
0.0,22,0.98486875,0.997025
0.0,23,0.98145,0.99714375
0.0,24,0.98325,0.99574375
0.0,25,0.98884375,0.9984125
0.0,26,0.9805625,0.99631875
0.0,27,0.9839187500000001,0.99500625
0.0,28,0.9834,0.99651875
0.0,29,0.9878,0.9957375
0.25,0,0.9822,0.99774375
0.25,1,0.9801500000000001,0.997325
0.25,2,0.97776875,0.9969687500000001
0.25,3,0.98575625,0.99879375
0.25,4,0.9878,0.99429375
0.25,5,0.9873875,0.9971375
0.25,6,0.9823,0.9974500000000001
0.25,7,0.98611875,0.99756875
0.25,8,0.9881375,0.9984875
0.25,9,0.9859875,0.99711875
0.25,10,0.9874125,0.99815625
0.25,11,0.98806875,0.9983875
0.25,12,0.984625,0.9965875
0.25,13,0.98165,0.9974375
0.25,14,0.98671875,0.99833125
0.25,15,0.98048125,0.99764375
0.25,16,0.97611875,0.9963625
0.25,17,0.97774375,0.997375
0.25,18,0.98543125,0.9975625
0.25,19,0.987725,0.99704375
0.25,20,0.9832125,0.99705625
0.25,21,0.98291875,0.99796875
0.25,22,0.98675625,0.9962562500000001
0.25,23,0.9827,0.99728125
0.25,24,0.9839125,0.99591875
0.25,25,0.98956875,0.9985
0.25,26,0.97949375,0.9970625
0.25,27,0.98474375,0.994775
0.25,28,0.98545625,0.99719375
0.25,29,0.9856812500000001,0.99610625
0.5,0,0.98095,0.99758125
0.5,1,0.9779625000000001,0.9977
0.5,2,0.9780875,0.9968625
0.5,3,0.9852625,0.99894375
0.5,4,0.98469375,0.994225
0.5,5,0.9862,0.99661875
0.5,6,0.978175,0.9970125
0.5,7,0.9856625,0.9975375
0.5,8,0.9901,0.99855
0.5,9,0.98661875,0.99733125
0.5,10,0.9880562500000001,0.9981625
0.5,11,0.98851875,0.99884375
0.5,12,0.9842125,0.99626875
0.5,13,0.98218125,0.9978125
0.5,14,0.98735625,0.99775625
0.5,15,0.97970625,0.9975125
0.5,16,0.97698125,0.99665625
0.5,17,0.9785125,0.9978375
0.5,18,0.98303125,0.998
0.5,19,0.98875625,0.9969375
0.5,20,0.98490625,0.99688125
0.5,21,0.982375,0.9978375
0.5,22,0.98515,0.99660625
0.5,23,0.983475,0.99720625
0.5,24,0.98376875,0.99665625
0.5,25,0.9876625,0.99826875
0.5,26,0.982225,0.996775
0.5,27,0.983675,0.99490625
0.5,28,0.983075,0.9971125
0.5,29,0.988425,0.995975
0.75,0,0.9812625,0.99775625
0.75,1,0.97994375,0.99735625
0.75,2,0.978425,0.9969687500000001
0.75,3,0.98455625,0.9988875
0.75,4,0.9853500000000001,0.9946312500000001
0.75,5,0.98614375,0.99664375
0.75,6,0.977225,0.9969875
0.75,7,0.9842875,0.9973500000000001
0.75,8,0.98718125,0.99869375
0.75,9,0.9861375,0.9972625
0.75,10,0.9875875000000001,0.99834375
0.75,11,0.989175,0.99886875
0.75,12,0.983525,0.9962
0.75,13,0.981475,0.9975
0.75,14,0.9874375,0.9982125
0.75,15,0.97990625,0.9974875
0.75,16,0.97720625,0.99633125
0.75,17,0.9813500000000001,0.99771875
0.75,18,0.9848687500000001,0.99793125
0.75,19,0.98863125,0.9972625
0.75,20,0.98466875,0.9965937500000001
0.75,21,0.98321875,0.99811875
0.75,22,0.985775,0.99666875
0.75,23,0.980075,0.99685
0.75,24,0.98216875,0.99665625
0.75,25,0.99034375,0.99823125
0.75,26,0.98009375,0.99648125
0.75,27,0.9823000000000001,0.99450625
0.75,28,0.982775,0.997125
0.75,29,0.98898125,0.9960625000000001
1.0,0,0.98076875,0.99765
1.0,1,0.97860625,0.99710625
1.0,2,0.97861875,0.99671875
1.0,3,0.98570625,0.9989375
1.0,4,0.98345,0.99455
1.0,5,0.98545625,0.996825
1.0,6,0.97834375,0.9970375
1.0,7,0.98438125,0.9973625
1.0,8,0.9878375,0.99860625
1.0,9,0.985525,0.9975375
1.0,10,0.98875625,0.9981125
1.0,11,0.9883875,0.9988625
1.0,12,0.9854437500000001,0.99621875
1.0,13,0.98099375,0.9974375
1.0,14,0.98655,0.99814375
1.0,15,0.97794375,0.997075
1.0,16,0.977575,0.99645625
1.0,17,0.9793375,0.997675
1.0,18,0.98419375,0.9979125
1.0,19,0.98855625,0.9973625
1.0,20,0.98345,0.99666875
1.0,21,0.98313125,0.99815
1.0,22,0.985225,0.99655
1.0,23,0.9805,0.99705625
1.0,24,0.98313125,0.99660625
1.0,25,0.98900625,0.99843125
1.0,26,0.980625,0.996175
1.0,27,0.9828125,0.99461875
1.0,28,0.98298125,0.99721875
1.0,29,0.98828125,0.9959625
