chaos,seed,auc,loss_rate
0.0,0,0.99860625,0.000703125
0.0,1,0.99820625,0.000703125
0.0,2,0.99895625,0.000859375
0.0,3,0.99859375,0.0009375
0.0,4,0.996025,0.0009765625
0.0,5,0.9986875000000001,0.0008203125
0.0,6,0.99771875,0.0010546875
0.0,7,0.99838125,0.0010546875
0.0,8,0.99934375,0.000859375
0.0,9,0.9985875,0.001171875
0.0,10,0.999525,0.0010546875
0.0,11,0.9993875,0.0011328125
0.0,12,0.9976875000000001,0.00078125
0.0,13,0.998875,0.001328125
0.0,14,0.99900625,0.000859375
0.0,15,0.998175,0.000625
0.0,16,0.99723125,0.0008203125
0.0,17,0.9987125,0.00125
0.0,18,0.99943125,0.00109375
0.0,19,0.9982125000000001,0.0011328125
0.0,20,0.99680625,0.0010546875
0.0,21,0.9992375,0.0009375
0.0,22,0.9986,0.00140625
0.0,23,0.99751875,0.00109375
0.0,24,0.99765,0.001171875
0.0,25,0.9994625,0.0015234375
0.0,26,0.9984,0.00109375
0.0,27,0.99616875,0.0012109375
0.0,28,0.99843125,0.001171875
0.0,29,0.99788125,0.001328125
0.25,0,0.99773125,0.00125
0.25,1,0.99571875,0.00140625
0.25,2,0.99734375,0.0015234375
0.25,3,0.9962375,0.0019921875
0.25,4,0.9926375000000001,0.001484375
0.25,5,0.99691875,0.0019140625
0.25,6,0.99276875,0.0019921875
0.25,7,0.9974500000000001,0.0021875
0.25,8,0.99790625,0.0016015625
0.25,9,0.99519375,0.001875
0.25,10,0.99528125,0.001953125
0.25,11,0.99825,0.001953125
0.25,12,0.99355,0.0017578125
0.25,13,0.997125,0.0020703125
0.25,14,0.9954875,0.0016796875
0.25,15,0.99394375,0.001640625
0.25,16,0.99515,0.0014453125
0.25,17,0.99604375,0.002109375
0.25,18,0.99338125,0.001953125
0.25,19,0.99631875,0.00203125
0.25,20,0.99401875,0.0017578125
0.25,21,0.99711875,0.0016796875
0.25,22,0.99685625,0.0023828125
0.25,23,0.9946375000000001,0.0018359375
0.25,24,0.99385,0.0016796875
0.25,25,0.9938125,0.0022265625
0.25,26,0.99498125,0.0018359375
0.25,27,0.992775,0.0025390625
0.25,28,0.99699375,0.0016796875
0.25,29,0.996575,0.0025390625
0.5,0,0.9879375,0.0045703125
0.5,1,0.98215,0.0046875
0.5,2,0.9881562500000001,0.0041796875
0.5,3,0.98324375,0.00515625
0.5,4,0.98025625,0.0033984375
0.5,5,0.98610625,0.0057421875
0.5,6,0.97955,0.004609375
0.5,7,0.9906,0.005
0.5,8,0.9885375000000001,0.0039453125
0.5,9,0.9817,0.003984375
0.5,10,0.98940625,0.0044921875
0.5,11,0.990325,0.0048046875
0.5,12,0.9838375,0.0042578125
0.5,13,0.9880187500000001,0.0053515625
0.5,14,0.98093125,0.0037109375
0.5,15,0.98225625,0.0039453125
0.5,16,0.98441875,0.0034375
0.5,17,0.98413125,0.0049609375
0.5,18,0.98251875,0.00484375
0.5,19,0.98799375,0.0054296875
0.5,20,0.98656875,0.0040234375
0.5,21,0.9810375,0.0046875
0.5,22,0.9833500000000001,0.0048828125
0.5,23,0.9775812500000001,0.00453125
0.5,24,0.98314375,0.0039453125
0.5,25,0.9823875,0.005390625
0.5,26,0.9890187500000001,0.0037890625
0.5,27,0.98030625,0.0048828125
0.5,28,0.98886875,0.0040625
0.5,29,0.9855125,0.0051171875
0.75,0,0.9678125,0.01015625
0.75,1,0.96284375,0.009296875
0.75,2,0.96943125,0.00859375
0.75,3,0.96208125,0.0103515625
0.75,4,0.9565625,0.00765625
0.75,5,0.9687125,0.01078125
0.75,6,0.958575,0.0081640625
0.75,7,0.9707375,0.0097265625
0.75,8,0.96959375,0.0071484375
0.75,9,0.96295,0.0069921875
0.75,10,0.96856875,0.0080859375
0.75,11,0.97104375,0.008671875
0.75,12,0.96073125,0.0084375
0.75,13,0.96656875,0.01046875
0.75,14,0.956125,0.0080078125
0.75,15,0.9557875,0.0071484375
0.75,16,0.96301875,0.007734375
0.75,17,0.968,0.0097265625
0.75,18,0.96155625,0.009921875
0.75,19,0.9662875,0.009609375
