domain,seed,auc
consensus,0,0.998648
consensus,1,0.998112
consensus,2,0.999044
consensus,3,0.999364
consensus,4,0.998024
consensus,5,0.997984
consensus,6,0.99844
consensus,7,0.999612
consensus,8,0.998292
consensus,9,0.998196
consensus,10,0.998632
consensus,11,0.998652
consensus,12,0.99906
consensus,13,0.999064
consensus,14,0.999208
consensus,15,0.997368
consensus,16,0.998324
consensus,17,0.998452
consensus,18,0.998188
consensus,19,0.99842
consensus,20,0.998696
consensus,21,0.998664
consensus,22,0.998836
consensus,23,0.998356
consensus,24,0.998472
consensus,25,0.998312
consensus,26,0.9989
consensus,27,0.997956
consensus,28,0.998284
consensus,29,0.999068
spacecraft,0,1.0
spacecraft,1,1.0
spacecraft,2,1.0
spacecraft,3,1.0
spacecraft,4,1.0
spacecraft,5,1.0
spacecraft,6,1.0
spacecraft,7,1.0
spacecraft,8,1.0
spacecraft,9,1.0
spacecraft,10,1.0
spacecraft,11,1.0
spacecraft,12,1.0
spacecraft,13,1.0
spacecraft,14,1.0
spacecraft,15,1.0
spacecraft,16,1.0
spacecraft,17,1.0
spacecraft,18,1.0
spacecraft,19,1.0
spacecraft,20,1.0
spacecraft,21,1.0
spacecraft,22,1.0
spacecraft,23,1.0
spacecraft,24,1.0
spacecraft,25,1.0
spacecraft,26,1.0
spacecraft,27,1.0
spacecraft,28,1.0
spacecraft,29,1.0
water-treatment,0,1.0
water-treatment,1,1.0
water-treatment,2,1.0
water-treatment,3,1.0
water-treatment,4,1.0
water-treatment,5,1.0
water-treatment,6,1.0
water-treatment,7,1.0
water-treatment,8,1.0
water-treatment,9,1.0
water-treatment,10,1.0
water-treatment,11,1.0
water-treatment,12,1.0
water-treatment,13,1.0
water-treatment,14,1.0
water-treatment,15,1.0
water-treatment,16,1.0
water-treatment,17,1.0
water-treatment,18,1.0
water-treatment,19,1.0
water-treatment,20,1.0
water-treatment,21,1.0
water-treatment,22,1.0
water-treatment,23,1.0
water-treatment,24,1.0
water-treatment,25,1.0
water-treatment,26,1.0
water-treatment,27,1.0
water-treatment,28,1.0
water-treatment,29,1.0
