seed,n_flags,mtbfd_ticks
0,1198,8.347245409015025
1,1182,8.460236886632826
2,1157,8.64304235090752
3,1183,8.4530853761623
4,1247,8.019246190858059
5,1223,8.176614881439084
6,1231,8.123476848090982
7,1193,8.382229673093043
8,1200,8.333333333333334
9,1188,8.417508417508417
10,1241,8.058017727639001
11,1238,8.077544426494345
12,1203,8.31255195344971
13,1214,8.237232289950576
14,1207,8.285004142502071
15,1249,8.00640512409928
16,1248,8.012820512820513
17,1222,8.183306055646481
18,1192,8.389261744966444
19,1189,8.410428931875526
20,1227,8.149959250203748
21,1228,8.143322475570033
22,1221,8.19000819000819
23,1250,8.0
24,1200,8.333333333333334
25,1255,7.968127490039841
26,1223,8.176614881439084
27,1187,8.424599831508003
28,1225,8.16326530612245
29,1229,8.136696501220504
