seed,auc_handset,auc_conformal,conformal_threshold
0,0.95829375,0.97470625,58.373302789557556
1,0.9571125,0.97273125,58.49622187197917
2,0.95268125,0.97745625,57.74548988321643
3,0.960175,0.97641875,58.156820519182126
4,0.95454375,0.97601875,58.45754926709405
5,0.955225,0.97295625,58.74860622661896
6,0.94928125,0.9661625,58.162202238396276
7,0.96685,0.9872875,57.4982315246451
8,0.95800625,0.97870625,58.10585353807851
9,0.96440625,0.97554375,57.9323287903923
10,0.965075,0.97853125,58.016723083115494
11,0.95931875,0.98561875,58.25211698727339
12,0.95821875,0.9787625,58.115637214838905
13,0.95470625,0.97171875,57.687866605338044
14,0.95653125,0.9675375,58.29577569154965
15,0.952025,0.97095,58.79308352971436
16,0.94745,0.9710625,58.15985234122874
17,0.95103125,0.96848125,59.05296943744328
18,0.95369375,0.9834625,58.76388175362643
19,0.9473625,0.981425,58.65787732674992
20,0.9604375,0.97154375,57.88605986173652
21,0.95905625,0.9765625,58.23455103960199
22,0.96409375,0.97985,58.384686865706406
23,0.95345,0.98070625,57.92945586082582
24,0.96866875,0.9828375,57.83176431618209
25,0.950925,0.97048125,58.130083677921924
26,0.95455,0.976025,58.624122075512304
27,0.954875,0.97745625,58.385447677107315
28,0.96408125,0.98310625,58.08274233978117
29,0.9530125,0.97235,58.42973662317094
