rho,seed,ECE,Brier
0.0,0,0.4068164529403051,0.32915170385253084
0.0,1,0.4107682735224565,0.32992418243861577
0.0,2,0.40649151926239335,0.3297239014761833
0.0,3,0.40880221654971444,0.33222824249879396
0.0,4,0.4106420714159807,0.32925765432735854
0.0,5,0.4084927402436733,0.33043906906082093
0.0,6,0.4069918364286423,0.32810881628847
0.0,7,0.40541119481126464,0.3285421541549122
0.0,8,0.4066384120782216,0.328986999778345
0.0,9,0.4038716972867648,0.3276019392023822
0.0,10,0.4080331062277158,0.3299076027204618
0.0,11,0.40583173379302023,0.3295215110961789
0.0,12,0.4073533549904823,0.33128418881116023
0.0,13,0.408987471361955,0.32919146255578385
0.0,14,0.4046399843196074,0.32867797438065305
0.0,15,0.41093723793824516,0.32983264964555536
0.0,16,0.40445093959569933,0.329747369323058
0.0,17,0.40781859179337815,0.330056250787664
0.0,18,0.40707688455780344,0.3303475684248749
0.0,19,0.40890703260898587,0.33125780059603993
0.0,20,0.40621466880043344,0.3296864756069414
0.0,21,0.40324584126472474,0.32921009016845404
0.0,22,0.40919971734285354,0.328906748781926
0.0,23,0.40678098216652875,0.3297406951601285
0.0,24,0.40421443293492004,0.3300911545591314
0.0,25,0.4022545663515727,0.328996868912844
0.0,26,0.40484611918528873,0.3300679799497449
0.0,27,0.40764313727617263,0.3293675092486309
0.0,28,0.4075402217109998,0.3292212279914697
0.0,29,0.4091471900542577,0.3304559401962374
0.2,0,0.38994693468014396,0.30286891187522097
0.2,1,0.3939824410776297,0.3037141501995318
0.2,2,0.38829632754127186,0.30135588234033234
0.2,3,0.390858358691136,0.30418745142343045
0.2,4,0.393355348755916,0.3023035077238158
0.2,5,0.3912572949628035,0.30352717752900005
0.2,6,0.3904565877219041,0.30246136856359984
0.2,7,0.3878905582924683,0.3013274593721123
0.2,8,0.3897805852194626,0.30267437425103827
0.2,9,0.38718893875678384,0.30168108675108457
0.2,10,0.39016678780317304,0.30206787248639055
0.2,11,0.3873576314747333,0.30078793127307313
0.2,12,0.38796132778127984,0.3009786033941935
0.2,13,0.39159320866068204,0.30216343950225966
0.2,14,0.38815397044022876,0.30297136028239835
0.2,15,0.3935683471461138,0.30273528283069906
0.2,16,0.3887464472154777,0.3052185049129034
0.2,17,0.39029991120100016,0.3027064050053937
0.2,18,0.38878918106357263,0.3018064196300309
0.2,19,0.3901194177567958,0.30191499883720063
0.2,20,0.38921825617551803,0.3031344547411093
0.2,21,0.38608032425244654,0.30254972931546914
0.2,22,0.3927453397214412,0.30327752285053033
0.2,23,0.38928263480464625,0.302427311628948
0.2,24,0.38621762116750086,0.3020437845719833
0.2,25,0.384868024388949,0.30191736295441085
0.2,26,0.38747748201092086,0.30291363287879103
0.2,27,0.3901662333806356,0.3021069777129084
0.2,28,0.39012227485577267,0.30216789063619376
0.2,29,0.39116922805706666,0.3024537080474848
0.4,0,0.3900444927811622,0.24697412096763577
0.4,1,0.3898820398747921,0.24817181906446456
0.4,2,0.3926124281187853,0.2454479061354865
0.4,3,0.3907725139458974,0.24797838401995373
0.4,4,0.3888630957404773,0.2462745309380456
0.4,5,0.3911170327663422,0.24729730640522077
0.4,6,0.38797667826215426,0.24635669951629754
0.4,7,0.3938734523455302,0.2448276902883497
0.4,8,0.390781445701917,0.24690023821592055
0.4,9,0.392458014835914,0.24698081175981262
0.4,10,0.3907678494354089,0.2466804501943409
0.4,11,0.39028066282471013,0.24579399968503074
0.4,12,0.3923035338024298,0.24435157782112696
0.4,13,0.39217923358082774,0.24667288360867687
0.4,14,0.38680084114273394,0.2479791100634673
0.4,15,0.3907831436395645,0.2469177565191538
0.4,16,0.39409972280263905,0.24851572364466937
0.4,17,0.39364625558257094,0.24708302907337856
0.4,18,0.3901826436320941,0.24559770597080852
0.4,19,0.39047446976105366,0.245872905932657
0.4,20,0.3916154885292053,0.2475188765694761
