delta,seed,empirical,theory
0.0,0,0.5822333333333333,0.5
0.0,1,0.670611111111111,0.5
0.0,2,0.6845083333333333,0.5
0.0,3,0.5234833333333333,0.5
0.0,4,0.5061027777777778,0.5
0.0,5,0.6534555555555556,0.5
0.0,6,0.6355055555555555,0.5
0.0,7,0.6071694444444444,0.5
0.0,8,0.5970833333333333,0.5
0.0,9,0.5300416666666666,0.5
0.0,10,0.6131666666666665,0.5
0.0,11,0.6005555555555555,0.5
0.0,12,0.5736305555555555,0.5
0.0,13,0.5598222222222222,0.5
0.0,14,0.6157916666666667,0.5
0.0,15,0.59325,0.5
0.0,16,0.5715444444444444,0.5
0.0,17,0.52415,0.5
0.0,18,0.5122833333333333,0.5
0.0,19,0.6149249999999999,0.5
0.0,20,0.5139444444444444,0.5
0.0,21,0.5290305555555556,0.5
0.0,22,0.55465,0.5
0.0,23,0.5576611111111112,0.5
0.0,24,0.5442111111111112,0.5
0.0,25,0.5097805555555556,0.5
0.0,26,0.5757888888888889,0.5
0.0,27,0.5652138888888889,0.5
0.0,28,0.5179694444444445,0.5
0.0,29,0.5531527777777778,0.5
0.02,0,0.5841944444444445,0.5056417077779248
0.02,1,0.6723027777777778,0.5056417077779248
0.02,2,0.6862694444444444,0.5056417077779248
0.02,3,0.5215555555555556,0.5056417077779248
0.02,4,0.5040638888888889,0.5056417077779248
0.02,5,0.6551527777777777,0.5056417077779248
0.02,6,0.6374750000000001,0.5056417077779248
0.02,7,0.6090027777777778,0.5056417077779248
0.02,8,0.5988555555555555,0.5056417077779248
0.02,9,0.5320277777777778,0.5056417077779248
0.02,10,0.61495,0.5056417077779248
0.02,11,0.5987277777777777,0.5056417077779248
0.02,12,0.5755444444444444,0.5056417077779248
0.02,13,0.5578944444444445,0.5056417077779248
0.02,14,0.6138333333333333,0.5056417077779248
0.02,15,0.5950138888888888,0.5056417077779248
0.02,16,0.5733777777777778,0.5056417077779248
0.02,17,0.5261638888888889,0.5056417077779248
0.02,18,0.5142333333333333,0.5056417077779248
0.02,19,0.6129722222222223,0.5056417077779248
0.02,20,0.51585,0.5056417077779248
0.02,21,0.52705,0.5056417077779248
0.02,22,0.5528805555555556,0.5056417077779248
0.02,23,0.5558277777777777,0.5056417077779248
0.02,24,0.5420666666666667,0.5056417077779248
0.02,25,0.5115777777777778,0.5056417077779248
0.02,26,0.5776361111111111,0.5056417077779248
0.02,27,0.5632944444444444,0.5056417077779248
0.02,28,0.5199222222222223,0.5056417077779248
0.02,29,0.5513861111111111,0.5056417077779248
0.04,0,0.586275,0.5112822873459225
0.04,1,0.6738972222222224,0.5112822873459225
0.04,2,0.6879527777777779,0.5112822873459225
0.04,3,0.5197166666666666,0.5112822873459225
0.04,4,0.5021305555555555,0.5112822873459225
0.04,5,0.6568055555555555,0.5112822873459225
0.04,6,0.639336111111111,0.5112822873459225
0.04,7,0.6106944444444444,0.5112822873459225
0.04,8,0.6006694444444444,0.5112822873459225
0.04,9,0.53395,0.5112822873459225
0.04,10,0.6167861111111111,0.5112822873459225
0.04,11,0.5968166666666667,0.5112822873459225
0.04,12,0.5773277777777778,0.5112822873459225
0.04,13,0.5560361111111111,0.5112822873459225
0.04,14,0.6118805555555555,0.5112822873459225
0.04,15,0.5967111111111111,0.5112822873459225
0.04,16,0.575275,0.5112822873459225
0.04,17,0.5281972222222222,0.5112822873459225
0.04,18,0.5162777777777778,0.5112822873459225
0.04,19,0.6111388888888889,0.5112822873459225
0.04,20,0.5178055555555555,0.5112822873459225
0.04,21,0.5252666666666667,0.5112822873459225
0.04,22,0.5511444444444444,0.5112822873459225
0.04,23,0.5539777777777778,0.5112822873459225
0.04,24,0.5399694444444445,0.5112822873459225
0.04,25,0.513263888888889,0.5112822873459225
0.04,26,0.5795694444444445,0.5112822873459225
0.04,27,0.5613805555555555,0.5112822873459225
0.04,28,0.521825,0.5112822873459225
0.04,29,0.5496888888888889,0.5112822873459225
0.06,0,0.5883749999999999,0.5169206111708677
0.06,1,0.6755166666666665,0.5169206111708677
0.06,2,0.6896416666666666,0.5169206111708677
0.06,3,0.517775,0.5169206111708677
0.06,4,0.5000055555555555,0.5169206111708677
0.06,5,0.6583749999999999,0.5169206111708677
0.06,6,0.6411222222222223,0.5169206111708677
0.06,7,0.6125166666666666,0.5169206111708677
0.06,8,0.6025333333333334,0.5169206111708677
0.06,9,0.535988888888889,0.5169206111708677
0.06,10,0.6187166666666667,0.5169206111708677
0.06,11,0.5949444444444445,0.5169206111708677
0.06,12,0.5790805555555556,0.5169206111708677
0.06,13,0.5541638888888889,0.5169206111708677
0.06,14,0.6100722222222222,0.5169206111708677
0.06,15,0.5984583333333333,0.5169206111708677
0.06,16,0.5771527777777777,0.5169206111708677
0.06,17,0.5303083333333334,0.5169206111708677
0.06,18,0.5181972222222222,0.5169206111708677
0.06,19,0.6093388888888889,0.5169206111708677
0.06,20,0.5196166666666666,0.5169206111708677
0.06,21,0.5234805555555555,0.5169206111708677
0.06,22,0.5492833333333333,0.5169206111708677
0.06,23,0.5520694444444445,0.5169206111708677
0.06,24,0.5379833333333334,0.5169206111708677
0.06,25,0.5150916666666667,0.5169206111708677
0.06,26,0.5814277777777779,0.5169206111708677
0.06,27,0.5595666666666667,0.5169206111708677
0.06,28,0.5237638888888889,0.5169206111708677
0.06,29,0.5479138888888888,0.5169206111708677
0.08,0,0.590586111111111,0.5225555530725624
0.08,1,0.677236111111111,0.5225555530725624
0.08,2,0.691175,0.5225555530725624
0.08,3,0.5158,0.5225555530725624
0.08,4,0.5019638888888889,0.5225555530725624
0.08,5,0.6600805555555556,0.5225555530725624
0.08,6,0.6429916666666666,0.5225555530725624
0.08,7,0.6143916666666667,0.5225555530725624
0.08,8,0.6043055555555557,0.5225555530725624
0.08,9,0.538036111111111,0.5225555530725624
0.08,10,0.6204555555555555,0.5225555530725624
0.08,11,0.593125,0.5225555530725624
0.08,12,0.5808916666666667,0.5225555530725624
0.08,13,0.5523138888888889,0.5225555530725624
0.08,14,0.6082333333333333,0.5225555530725624
0.08,15,0.6000805555555555,0.5225555530725624
0.08,16,0.5790666666666666,0.5225555530725624
0.08,17,0.5321861111111111,0.5225555530725624
0.08,18,0.5200916666666666,0.5225555530725624
0.08,19,0.6075,0.5225555530725624
0.08,20,0.521575,0.5225555530725624
0.08,21,0.5217388888888889,0.5225555530725624
0.08,22,0.5475444444444444,0.5225555530725624
0.08,23,0.5501138888888888,0.5225555530725624
0.08,24,0.5359,0.5225555530725624
0.08,25,0.5168777777777778,0.5225555530725624
0.08,26,0.5833250000000001,0.5225555530725624
0.08,27,0.5577138888888888,0.5225555530725624
0.08,28,0.5257138888888888,0.5225555530725624
0.08,29,0.5462277777777778,0.5225555530725624
0.1,0,0.5928027777777778,0.5281859888985083
0.1,1,0.6789499999999999,0.5281859888985083
0.1,2,0.6927722222222222,0.5281859888985083
0.1,3,0.513725,0.5281859888985083
0.1,4,0.503875,0.5281859888985083
0.1,5,0.6617694444444444,0.5281859888985083
0.1,6,0.6447499999999999,0.5281859888985083
0.1,7,0.616111111111111,0.5281859888985083
0.1,8,0.606136111111111,0.5281859888985083
0.1,9,0.5401638888888889,0.5281859888985083
0.1,10,0.6222722222222221,0.5281859888985083
0.1,11,0.5912416666666667,0.5281859888985083
0.1,12,0.5826638888888889,0.5281859888985083
0.1,13,0.5505361111111111,0.5281859888985083
0.1,14,0.6063027777777777,0.5281859888985083
0.1,15,0.6017583333333334,0.5281859888985083
0.1,16,0.580975,0.5281859888985083
0.1,17,0.5342222222222222,0.5281859888985083
0.1,18,0.5220083333333334,0.5281859888985083
0.1,19,0.6054944444444444,0.5281859888985083
0.1,20,0.5234861111111111,0.5281859888985083
0.1,21,0.5198388888888889,0.5281859888985083
0.1,22,0.545625,0.5281859888985083
0.1,23,0.5480333333333334,0.5281859888985083
0.1,24,0.5338583333333333,0.5281859888985083
0.1,25,0.5186388888888889,0.5281859888985083
0.1,26,0.5850472222222223,0.5281859888985083
0.1,27,0.5557888888888889,0.5281859888985083
0.1,28,0.5276194444444444,0.5281859888985083
0.1,29,0.5442972222222222,0.5281859888985083
0.15,0,0.5980166666666666,0.5422350133116141
0.15,1,0.6832138888888889,0.5422350133116141
0.15,2,0.6968666666666666,0.5422350133116141
0.15,3,0.5089111111111111,0.5422350133116141
0.15,4,0.5084805555555556,0.5422350133116141
0.15,5,0.6658638888888889,0.5422350133116141
0.15,6,0.6494083333333333,0.5422350133116141
0.15,7,0.6208388888888888,0.5422350133116141
0.15,8,0.6106861111111112,0.5422350133116141
0.15,9,0.5453194444444445,0.5422350133116141
0.15,10,0.6267444444444444,0.5422350133116141
0.15,11,0.5866083333333334,0.5422350133116141
0.15,12,0.5871722222222222,0.5422350133116141
0.15,13,0.5459166666666666,0.5422350133116141
0.15,14,0.6016472222222222,0.5422350133116141
0.15,15,0.6059166666666667,0.5422350133116141
0.15,16,0.585725,0.5422350133116141
0.15,17,0.5389555555555556,0.5422350133116141
0.15,18,0.5269722222222222,0.5422350133116141
0.15,19,0.6005638888888889,0.5422350133116141
0.15,20,0.5284027777777778,0.5422350133116141
0.15,21,0.5150916666666667,0.5422350133116141
0.15,22,0.5411305555555556,0.5422350133116141
0.15,23,0.5432194444444445,0.5422350133116141
0.15,24,0.5286638888888888,0.5422350133116141
0.15,25,0.5233333333333333,0.5422350133116141
0.15,26,0.5899055555555556,0.5422350133116141
0.15,27,0.550961111111111,0.5422350133116141
0.15,28,0.5324888888888889,0.5422350133116141
0.15,29,0.5398305555555556,0.5422350133116141
0.2,0,0.6032888888888888,0.5562314580091424
0.2,1,0.6874999999999999,0.5562314580091424
0.2,2,0.7011055555555556,0.5562314580091424
0.2,3,0.5041138888888889,0.5562314580091424
0.2,4,0.5134833333333333,0.5562314580091424
0.2,5,0.6698972222222223,0.5562314580091424
0.2,6,0.6540250000000001,0.5562314580091424
0.2,7,0.62525,0.5562314580091424
0.2,8,0.6153833333333334,0.5562314580091424
