eps,seed,auc
0.3,0,1.0
0.3,1,1.0
0.3,2,1.0
0.3,3,1.0
0.3,4,1.0
0.3,5,1.0
0.3,6,1.0
0.3,7,1.0
0.3,8,1.0
0.3,9,1.0
0.3,10,1.0
0.3,11,1.0
0.3,12,1.0
0.3,13,1.0
0.3,14,1.0
0.3,15,1.0
0.3,16,1.0
0.3,17,1.0
0.3,18,1.0
0.3,19,1.0
0.3,20,1.0
0.3,21,1.0
0.3,22,1.0
0.3,23,1.0
0.3,24,1.0
0.3,25,1.0
0.3,26,1.0
0.3,27,1.0
0.3,28,1.0
0.3,29,1.0
0.2,0,1.0
0.2,1,1.0
0.2,2,1.0
0.2,3,1.0
0.2,4,1.0
0.2,5,1.0
0.2,6,1.0
0.2,7,1.0
0.2,8,1.0
0.2,9,1.0
0.2,10,1.0
0.2,11,1.0
0.2,12,1.0
0.2,13,1.0
0.2,14,1.0
0.2,15,1.0
0.2,16,1.0
0.2,17,1.0
0.2,18,1.0
0.2,19,1.0
0.2,20,1.0
0.2,21,1.0
0.2,22,1.0
0.2,23,1.0
0.2,24,1.0
0.2,25,1.0
0.2,26,1.0
0.2,27,1.0
0.2,28,1.0
0.2,29,1.0
0.1,0,1.0
0.1,1,1.0
0.1,2,1.0
0.1,3,1.0
0.1,4,1.0
0.1,5,1.0
0.1,6,1.0
0.1,7,1.0
0.1,8,1.0
0.1,9,1.0
0.1,10,1.0
0.1,11,1.0
0.1,12,1.0
0.1,13,1.0
0.1,14,1.0
0.1,15,1.0
0.1,16,1.0
0.1,17,1.0
0.1,18,1.0
0.1,19,1.0
0.1,20,1.0
0.1,21,1.0
0.1,22,1.0
0.1,23,1.0
0.1,24,1.0
0.1,25,1.0
0.1,26,1.0
0.1,27,1.0
0.1,28,1.0
0.1,29,1.0
0.05,0,1.0
0.05,1,1.0
0.05,2,1.0
0.05,3,1.0
0.05,4,1.0
0.05,5,1.0
0.05,6,1.0
0.05,7,1.0
0.05,8,1.0
0.05,9,1.0
0.05,10,1.0
0.05,11,1.0
0.05,12,1.0
0.05,13,1.0
0.05,14,1.0
0.05,15,1.0
0.05,16,1.0
0.05,17,1.0
0.05,18,1.0
0.05,19,1.0
0.05,20,1.0
0.05,21,1.0
0.05,22,1.0
0.05,23,1.0
0.05,24,1.0
0.05,25,1.0
0.05,26,1.0
0.05,27,1.0
0.05,28,1.0
0.05,29,1.0
0.02,0,1.0
0.02,1,1.0
0.02,2,1.0
0.02,3,1.0
0.02,4,1.0
0.02,5,1.0
0.02,6,1.0
0.02,7,1.0
0.02,8,1.0
0.02,9,1.0
0.02,10,1.0
0.02,11,1.0
0.02,12,1.0
0.02,13,1.0
0.02,14,1.0
0.02,15,1.0
0.02,16,1.0
0.02,17,1.0
0.02,18,1.0
0.02,19,1.0
0.02,20,1.0
0.02,21,1.0
0.02,22,1.0
0.02,23,1.0
0.02,24,1.0
0.02,25,1.0
0.02,26,1.0
0.02,27,1.0
0.02,28,1.0
0.02,29,1.0
0.0,0,1.0
0.0,1,1.0
0.0,2,1.0
0.0,3,1.0
0.0,4,1.0
0.0,5,1.0
0.0,6,1.0
0.0,7,1.0
0.0,8,1.0
0.0,9,1.0
0.0,10,1.0
0.0,11,1.0
0.0,12,1.0
0.0,13,1.0
0.0,14,1.0
0.0,15,1.0
0.0,16,1.0
0.0,17,1.0
0.0,18,1.0
0.0,19,1.0
0.0,20,1.0
0.0,21,1.0
0.0,22,1.0
0.0,23,1.0
0.0,24,1.0
0.0,25,1.0
0.0,26,1.0
0.0,27,1.0
0.0,28,1.0
0.0,29,1.0
