n,seed,auc
50,0,0.9996
50,1,1.0
50,2,0.9992
50,3,1.0
50,4,0.9992
50,5,1.0
50,6,0.9968
50,7,1.0
50,8,1.0
50,9,0.998
50,10,1.0
50,11,0.9972
50,12,0.9964
50,13,0.9988
50,14,1.0
50,15,1.0
50,16,0.9956
50,17,1.0
50,18,0.9976
50,19,1.0
50,20,0.9976
50,21,0.9968
50,22,0.9996
50,23,1.0
50,24,0.9996
50,25,0.9984
50,26,0.9996
50,27,1.0
50,28,0.9952
50,29,0.9996
100,0,0.9993000000000001
100,1,0.9984
100,2,1.0
100,3,0.9993000000000001
100,4,0.9993
100,5,0.9999
100,6,0.9887
100,7,0.9984999999999999
100,8,0.998
100,9,0.9977
100,10,0.9995
100,11,0.9998
100,12,0.9985
100,13,0.9997
100,14,0.9974000000000001
100,15,0.9987
100,16,0.9992000000000001
100,17,0.9974
100,18,1.0
100,19,0.9986
100,20,0.9980000000000001
100,21,0.9997
100,22,0.9947999999999999
100,23,0.9994
100,24,0.9997
100,25,0.9994999999999999
100,26,0.9956999999999999
100,27,0.9989999999999999
100,28,0.9996
100,29,0.9961
200,0,0.9983500000000001
200,1,0.999125
200,2,0.9985750000000001
200,3,0.9979500000000001
200,4,0.99895
200,5,0.9996000000000002
200,6,0.9979000000000001
200,7,0.9998250000000001
200,8,0.996225
200,9,0.9984000000000001
200,10,0.9990500000000001
200,11,0.9972250000000001
200,12,0.998125
200,13,0.9968500000000001
200,14,0.99785
200,15,0.9990000000000001
200,16,0.9997
200,17,0.995525
200,18,0.9995750000000001
200,19,0.999175
200,20,0.99955
200,21,0.9987250000000001
200,22,0.998925
200,23,0.9986750000000001
200,24,0.9988750000000001
200,25,0.997125
200,26,0.9974750000000001
200,27,0.9987250000000001
200,28,0.9989000000000001
200,29,0.999625
400,0,0.998175
400,1,0.9985187500000001
400,2,0.9989750000000001
400,3,0.9987875
400,4,0.99585
400,5,0.9978562500000001
400,6,0.99789375
400,7,0.99881875
400,8,0.9994937500000001
400,9,0.9981250000000002
400,10,0.9991875000000001
400,11,0.9994125
400,12,0.9988
400,13,0.99916875
400,14,0.9991000000000001
400,15,0.9985937500000001
400,16,0.9980187500000001
400,17,0.9990125000000002
400,18,0.9980187500000001
400,19,0.9989375000000001
400,20,0.99710625
400,21,0.9991625000000002
400,22,0.9989062500000001
400,23,0.9978250000000001
400,24,0.9986125
400,25,0.9993937500000001
400,26,0.99908125
400,27,0.99680625
400,28,0.9977625000000001
400,29,0.9982437500000001
800,0,0.9987281250000001
800,1,0.9990375
800,2,0.9973140624999999
800,3,0.9979656250000001
800,4,0.9983906250000001
800,5,0.9991046875
800,6,0.9989109375
800,7,0.9972140625000001
800,8,0.9985125
800,9,0.9990921875000001
800,10,0.9980734375
800,11,0.9989015625000001
800,12,0.9976484375
800,13,0.9990609375
800,14,0.99855
800,15,0.9991703125
800,16,0.9989
800,17,0.9983078125000001
800,18,0.9990437500000001
800,19,0.9990140625
800,20,0.999290625
800,21,0.997890625
800,22,0.9974203125
800,23,0.9979703125000001
800,24,0.9980671875
800,25,0.9989359375000001
800,26,0.9988578125000002
800,27,0.99893125
800,28,0.9978625000000001
800,29,0.998475
1600,0,0.99819453125
1600,1,0.997909375
1600,2,0.998294140625
1600,3,0.999303125
1600,4,0.9982945312500001
1600,5,0.9981847656250001
1600,6,0.998863671875
1600,7,0.9989722656250001
1600,8,0.998367578125
1600,9,0.99858359375
1600,10,0.9980187500000001
1600,11,0.998765625
1600,12,0.998125
1600,13,0.998655859375
1600,14,0.9979164062500001
1600,15,0.99859375
1600,16,0.9984171875000001
1600,17,0.9986710937500001
1600,18,0.99858125
1600,19,0.9981531250000001
1600,20,0.9973281250000002
1600,21,0.998834765625
1600,22,0.9985203125000001
1600,23,0.998736328125
1600,24,0.99833125
1600,25,0.99916171875
1600,26,0.998328125
1600,27,0.9977500000000001
1600,28,0.998689453125
1600,29,0.9970937500000001
3200,0,0.9987873046875001
3200,1,0.9981864257812499
3200,2,0.99856845703125
3200,3,0.998059375
3200,4,0.9983293945312499
3200,5,0.998476953125
3200,6,0.998390234375
3200,7,0.9982900390625
3200,8,0.9983666015625
3200,9,0.99839619140625
3200,10,0.99801767578125
3200,11,0.9979556640625
3200,12,0.9983517578125001
3200,13,0.9978419921874999
3200,14,0.9985072265625
3200,15,0.9977765624999999
3200,16,0.99853955078125
3200,17,0.9984257812499999
3200,18,0.9979037109375
3200,19,0.9976711914062499
3200,20,0.99817861328125
3200,21,0.99867587890625
3200,22,0.9985776367187499
3200,23,0.9983382812500001
3200,24,0.99845947265625
3200,25,0.99881962890625
3200,26,0.99833544921875
3200,27,0.9980839843749999
3200,28,0.998436328125
3200,29,0.9981513671875
