seed,n_flags,mtbfd_ticks
0,2943,3.397893306150187
1,2987,3.3478406427854033
2,3007,3.3255736614566014
3,3045,3.284072249589491
4,3011,3.3211557622052474
5,3103,3.222687721559781
6,3025,3.3057851239669422
7,2973,3.3636057854019508
8,2991,3.3433634236041456
9,3012,3.3200531208499338
10,3064,3.2637075718015667
11,2994,3.3400133600534403
12,2978,3.3579583613163195
13,3047,3.2819166393173616
14,3029,3.301419610432486
15,3009,3.3233632436025258
16,3029,3.301419610432486
17,3043,3.286230693394676
18,3008,3.324468085106383
19,3020,3.3112582781456954
20,3009,3.3233632436025258
21,3030,3.3003300330033003
22,2966,3.3715441672285906
23,3062,3.2658393207054215
24,2981,3.354579000335458
25,3090,3.236245954692557
26,2931,3.4118048447628797
27,2969,3.3681374200067364
28,3056,3.2722513089005236
29,2961,3.377237419790611
