ablate,seed,auc
none,0,1.0
none,1,1.0
none,2,1.0
none,3,1.0
none,4,1.0
none,5,1.0
none,6,1.0
none,7,1.0
none,8,1.0
none,9,1.0
none,10,1.0
none,11,1.0
none,12,1.0
none,13,1.0
none,14,1.0
none,15,1.0
none,16,1.0
none,17,1.0
none,18,1.0
none,19,1.0
none,20,1.0
none,21,1.0
none,22,1.0
none,23,1.0
none,24,1.0
none,25,1.0
none,26,1.0
none,27,1.0
none,28,1.0
none,29,1.0
A_latency,0,1.0
A_latency,1,1.0
A_latency,2,1.0
A_latency,3,1.0
A_latency,4,1.0
A_latency,5,1.0
A_latency,6,1.0
A_latency,7,1.0
A_latency,8,1.0
A_latency,9,1.0
A_latency,10,1.0
A_latency,11,1.0
A_latency,12,1.0
A_latency,13,1.0
A_latency,14,1.0
A_latency,15,1.0
A_latency,16,1.0
A_latency,17,1.0
A_latency,18,1.0
A_latency,19,1.0
A_latency,20,1.0
A_latency,21,1.0
A_latency,22,1.0
A_latency,23,1.0
A_latency,24,1.0
A_latency,25,1.0
A_latency,26,1.0
A_latency,27,1.0
A_latency,28,1.0
A_latency,29,1.0
B_reliab,0,1.0
B_reliab,1,1.0
B_reliab,2,1.0
B_reliab,3,1.0
B_reliab,4,1.0
B_reliab,5,1.0
B_reliab,6,1.0
B_reliab,7,1.0
B_reliab,8,1.0
B_reliab,9,1.0
B_reliab,10,1.0
B_reliab,11,1.0
B_reliab,12,1.0
B_reliab,13,1.0
B_reliab,14,1.0
B_reliab,15,1.0
B_reliab,16,1.0
B_reliab,17,1.0
B_reliab,18,1.0
B_reliab,19,1.0
B_reliab,20,1.0
B_reliab,21,1.0
B_reliab,22,1.0
B_reliab,23,1.0
B_reliab,24,1.0
B_reliab,25,1.0
B_reliab,26,1.0
B_reliab,27,1.0
B_reliab,28,1.0
B_reliab,29,1.0
C_elect,0,1.0
C_elect,1,1.0
C_elect,2,1.0
C_elect,3,1.0
C_elect,4,1.0
C_elect,5,1.0
C_elect,6,1.0
C_elect,7,1.0
C_elect,8,1.0
C_elect,9,1.0
C_elect,10,1.0
C_elect,11,1.0
C_elect,12,1.0
C_elect,13,1.0
C_elect,14,1.0
C_elect,15,1.0
C_elect,16,1.0
C_elect,17,1.0
C_elect,18,1.0
C_elect,19,1.0
C_elect,20,1.0
C_elect,21,1.0
C_elect,22,1.0
C_elect,23,1.0
C_elect,24,1.0
C_elect,25,1.0
C_elect,26,1.0
C_elect,27,1.0
C_elect,28,1.0
C_elect,29,1.0
