delta,seed,auc_empirical,auc_theory
0.0,0,0.5141142222222223,0.5
0.0,1,0.5232813333333334,0.5
0.0,2,0.5219244444444444,0.5
0.0,3,0.5097546666666666,0.5
0.0,4,0.5030462222222223,0.5
0.0,5,0.5019164444444444,0.5
0.0,6,0.5053826666666668,0.5
0.0,7,0.513403111111111,0.5
0.0,8,0.5167422222222222,0.5
0.0,9,0.5066306666666667,0.5
0.0,10,0.5006484444444445,0.5
0.0,11,0.5067235555555555,0.5
0.0,12,0.5050786666666667,0.5
0.0,13,0.5054488888888888,0.5
0.0,14,0.5063764444444445,0.5
0.0,15,0.5189973333333333,0.5
0.0,16,0.5016986666666666,0.5
0.0,17,0.505868,0.5
0.0,18,0.5037044444444445,0.5
0.0,19,0.5054195555555556,0.5
0.0,20,0.5102773333333332,0.5
0.0,21,0.5103102222222222,0.5
0.0,22,0.5089231111111112,0.5
0.0,23,0.5101484444444444,0.5
0.0,24,0.5002791111111111,0.5
0.0,25,0.5044386666666667,0.5
0.0,26,0.5015902222222223,0.5
0.0,27,0.5102208888888888,0.5
0.0,28,0.5048124444444444,0.5
0.0,29,0.5010333333333333,0.5
0.05,0,0.5000213333333334,0.514101801652164
0.05,1,0.5375351111111111,0.514101801652164
0.05,2,0.5360631111111112,0.514101801652164
0.05,3,0.5041422222222223,0.514101801652164
0.05,4,0.5112142222222222,0.514101801652164
0.05,5,0.5159431111111111,0.514101801652164
0.05,6,0.5085128888888889,0.514101801652164
0.05,7,0.5276217777777779,0.514101801652164
0.05,8,0.5305973333333334,0.514101801652164
0.05,9,0.5071564444444443,0.514101801652164
0.05,10,0.5148866666666667,0.514101801652164
0.05,11,0.5209204444444444,0.514101801652164
0.05,12,0.5090773333333334,0.514101801652164
0.05,13,0.5195186666666667,0.514101801652164
0.05,14,0.5203173333333333,0.514101801652164
0.05,15,0.5046128888888889,0.514101801652164
0.05,16,0.5155133333333333,0.514101801652164
0.05,17,0.5082302222222222,0.514101801652164
0.05,18,0.5175466666666666,0.514101801652164
0.05,19,0.5198497777777777,0.514101801652164
0.05,20,0.5244653333333333,0.514101801652164
0.05,21,0.5247026666666667,0.514101801652164
0.05,22,0.5231,0.514101801652164
0.05,23,0.5243937777777777,0.514101801652164
0.05,24,0.5138955555555555,0.514101801652164
0.05,25,0.5094324444444445,0.514101801652164
0.05,26,0.5157782222222222,0.514101801652164
0.05,27,0.504048,0.514101801652164
0.05,28,0.5093626666666666,0.514101801652164
0.05,29,0.5129182222222222,0.514101801652164
0.1,0,0.5141662222222222,0.5281859888985083
0.1,1,0.5516053333333333,0.5281859888985083
0.1,2,0.5501555555555555,0.5281859888985083
0.1,3,0.5179777777777778,0.5281859888985083
0.1,4,0.5252782222222222,0.5281859888985083
0.1,5,0.5301995555555555,0.5281859888985083
0.1,6,0.5225177777777779,0.5281859888985083
0.1,7,0.5417302222222222,0.5281859888985083
0.1,8,0.5443964444444445,0.5281859888985083
0.1,9,0.5209079999999999,0.5281859888985083
0.1,10,0.5291835555555555,0.5281859888985083
0.1,11,0.5350453333333334,0.5281859888985083
0.1,12,0.5231262222222223,0.5281859888985083
0.1,13,0.5336333333333334,0.5281859888985083
0.1,14,0.5342506666666667,0.5281859888985083
0.1,15,0.5095222222222222,0.5281859888985083
0.1,16,0.529204888888889,0.5281859888985083
0.1,17,0.5224057777777777,0.5281859888985083
0.1,18,0.5313635555555556,0.5281859888985083
