n,seed,auc,gap_to_1
50,0,0.9967999999999999,0.0032000000000000917
50,1,1.0,0.0
50,2,1.0,0.0
50,3,0.9992,0.0008000000000000229
50,4,1.0,0.0
50,5,1.0,0.0
50,6,1.0,0.0
50,7,0.9987999999999999,0.0012000000000000899
50,8,0.9996,0.00039999999999995595
50,9,1.0,0.0
50,10,0.998,0.0020000000000000018
50,11,1.0,0.0
50,12,0.9976,0.0023999999999999577
50,13,0.9976,0.0023999999999999577
50,14,0.9992,0.0008000000000000229
50,15,1.0,0.0
50,16,1.0,0.0
50,17,1.0,0.0
50,18,0.9987999999999999,0.0012000000000000899
50,19,0.9984,0.0016000000000000458
50,20,1.0,0.0
50,21,0.9987999999999999,0.0012000000000000899
50,22,0.998,0.0020000000000000018
50,23,1.0,0.0
50,24,1.0,0.0
50,25,1.0,0.0
50,26,0.9992,0.0008000000000000229
50,27,0.9996,0.00039999999999995595
50,28,1.0,0.0
50,29,1.0,0.0
100,0,0.9971,0.0029000000000000137
100,1,0.9988,0.0011999999999999789
100,2,0.9982,0.0018000000000000238
100,3,0.9996,0.00039999999999995595
100,4,0.9993,0.0007000000000000339
100,5,0.9998,0.00019999999999997797
100,6,0.9975999999999999,0.0024000000000000687
100,7,0.9998,0.00019999999999997797
100,8,0.9985,0.0014999999999999458
100,9,0.9996,0.00039999999999995595
100,10,0.9998,0.00019999999999997797
100,11,0.9993,0.0007000000000000339
100,12,0.9984,0.0016000000000000458
100,13,0.9982000000000001,0.0017999999999999128
100,14,0.9975,0.0024999999999999467
100,15,0.9992,0.0008000000000000229
100,16,0.9992,0.0008000000000000229
100,17,0.9987,0.0012999999999999678
100,18,0.9987,0.0012999999999999678
100,19,0.9976,0.0023999999999999577
100,20,1.0,0.0
100,21,0.9992,0.0008000000000000229
100,22,0.9991,0.0009000000000000119
100,23,0.9992,0.0008000000000000229
100,24,0.9985999999999999,0.0014000000000000679
100,25,0.9973000000000001,0.0026999999999999247
100,26,0.9958,0.0041999999999999815
100,27,0.9999,9.999999999998899e-05
100,28,0.9994000000000001,0.0005999999999999339
100,29,0.999,0.0010000000000000009
300,0,0.9990777777777777,0.0009222222222222687
300,1,0.9982444444444444,0.0017555555555556213
300,2,0.9982444444444444,0.0017555555555556213
300,3,0.9993111111111111,0.00068888888888885
300,4,0.9987,0.0012999999999999678
300,5,0.9983444444444445,0.0016555555555555213
300,6,0.9984777777777777,0.0015222222222223136
300,7,0.9996888888888888,0.00031111111111115086
300,8,0.9988888888888889,0.0011111111111110628
300,9,0.9965,0.0034999999999999476
300,10,0.9979444444444444,0.0020555555555555882
300,11,0.9989333333333333,0.0010666666666666602
300,12,0.9992555555555556,0.0007444444444444365
300,13,0.9980888888888888,0.0019111111111111967
300,14,0.9963222222222222,0.00367777777777778
300,15,0.9994555555555555,0.0005444444444444585
300,16,0.9994888888888889,0.0005111111111111288
300,17,0.9986333333333334,0.0013666666666666272
300,18,0.9987999999999999,0.0012000000000000899
300,19,0.9990444444444445,0.0009555555555554873
300,20,0.9994222222222222,0.0005777777777777882
300,21,0.9986888888888888,0.0013111111111111518
300,22,0.9987777777777779,0.0012222222222221246
300,23,0.9982666666666666,0.0017333333333333645
300,24,0.9987777777777779,0.0012222222222221246
300,25,0.999,0.0010000000000000009
300,26,0.9988111111111111,0.001188888888888906
300,27,0.9978555555555556,0.0021444444444443933
300,28,0.9987333333333334,0.0012666666666666382
300,29,0.9986777777777778,0.0013222222222222246
1000,0,0.998569,0.00143099999999996
1000,1,0.9975050000000001,0.002494999999999914
1000,2,0.998854,0.0011459999999999804
1000,3,0.9986270000000002,0.0013729999999998466
1000,4,0.9985550000000001,0.0014449999999999186
1000,5,0.998896,0.0011039999999999939
1000,6,0.9990910000000001,0.0009089999999999376
1000,7,0.9986570000000001,0.001342999999999872
1000,8,0.998692,0.0013079999999999758
1000,9,0.9978720000000001,0.0021279999999999077
1000,10,0.9985080000000001,0.0014919999999999378
1000,11,0.9993930000000001,0.0006069999999999132
1000,12,0.999041,0.0009590000000000432
1000,13,0.998595,0.0014049999999999896
1000,14,0.9982880000000001,0.0017119999999999358
1000,15,0.9987950000000002,0.0012049999999997896
1000,16,0.999005,0.0009949999999999681
1000,17,0.998719,0.0012809999999999766
1000,18,0.999086,0.0009139999999999704
1000,19,0.998873,0.0011269999999999891
1000,20,0.999065,0.0009350000000000191
1000,21,0.9974890000000001,0.00251099999999993
1000,22,0.998623,0.0013769999999999616
1000,23,0.998928,0.0010719999999999619
1000,24,0.998579,0.0014210000000000056
1000,25,0.998529,0.001471
1000,26,0.9982150000000001,0.0017849999999999255
1000,27,0.9975220000000001,0.002477999999999869
1000,28,0.998968,0.0010320000000000329
1000,29,0.998354,0.0016460000000000363
3000,0,0.9983933333333334,0.0016066666666666451
3000,1,0.9984952222222222,0.0015047777777777993
3000,2,0.9986752222222223,0.0013247777777777303
3000,3,0.9989465555555557,0.0010534444444443292
3000,4,0.9986195555555556,0.0013804444444444064
3000,5,0.9983003333333332,0.001699666666666766
3000,6,0.9991295555555556,0.000870444444444396
3000,7,0.9987714444444444,0.001228555555555566
3000,8,0.9985054444444444,0.0014945555555555545
3000,9,0.9986125555555556,0.0013874444444443856
3000,10,0.9985796666666668,0.0014203333333332457
3000,11,0.9988236666666667,0.0011763333333333348
3000,12,0.9983792222222223,0.0016207777777776933
3000,13,0.9983215555555556,0.0016784444444444269
3000,14,0.998615,0.0013849999999999696
3000,15,0.9986256666666666,0.0013743333333333663
3000,16,0.9986207777777776,0.0013792222222224204
3000,17,0.9984114444444445,0.001588555555555482
3000,18,0.998333888888889,0.001666111111111035
3000,19,0.9986828888888889,0.0013171111111111022
3000,20,0.9988814444444444,0.0011185555555556226
3000,21,0.9984331111111111,0.0015668888888888954
3000,22,0.998198111111111,0.0018018888888889917
3000,23,0.9989295555555554,0.001070444444444596
3000,24,0.9987215555555556,0.00127844444444436
3000,25,0.9978791111111109,0.002120888888889061
3000,26,0.9983404444444445,0.0016595555555555253
3000,27,0.9980763333333332,0.0019236666666667679
3000,28,0.9987456666666668,0.0012543333333332463
3000,29,0.9985371111111111,0.0014628888888889024
