W,k_match,mean_auc,std_auc
4,1,0.5165550222222222,0.011116617865271294
4,2,0.5142179555555556,0.011179065308130957
4,3,0.5142179555555556,0.011179065308130957
4,4,0.5142179555555556,0.011179065308130957
8,1,0.5592133333333335,0.01445781561767087
8,2,0.5728762666666666,0.016205019196080882
8,3,0.5728762666666666,0.016205019196080882
8,4,0.5728762666666666,0.016205019196080882
16,1,0.7928491851851852,0.012741252496182133
16,2,0.7996899555555556,0.010859370561968127
16,3,0.7996899555555556,0.010859370561968127
16,4,0.7996899555555556,0.010859370561968127
32,1,0.9603603555555555,0.004339274548080763
32,2,0.9625615407407407,0.004312511643806888
32,3,0.9625615407407407,0.004312511643806888
32,4,0.9625615407407407,0.004312511643806888
64,1,0.9985637333333333,0.0004936675491193398
64,2,0.9986099555555555,0.00055128414965656
64,3,0.9986099555555555,0.00055128414965656
64,4,0.9986099555555555,0.00055128414965656
128,1,0.9999997037037037,1.0349184708732752e-06
128,2,0.9999992888888889,2.3224791635088624e-06
128,3,0.9999992888888889,2.3224791635088624e-06
128,4,0.9999992888888889,2.3224791635088624e-06
