condition,election,prev_leader,paused,new_leader,target_won,live,advisors_alive,bt
healthy_white,1,0,1,0,0,0,7,"[]"
healthy_white,2,0,2,4,0,1,7,"[]"
healthy_white,3,4,4,2,0,1,7,"[6]"
healthy_white,4,2,2,1,0,1,7,"[3]"
healthy_white,5,1,1,2,0,1,7,"[]"
healthy_white,6,2,2,1,0,1,7,"[]"
healthy_white,7,1,1,2,0,1,7,"[]"
healthy_white,8,2,2,4,0,1,7,"[3]"
healthy_white,9,4,4,6,0,1,7,"[5]"
healthy_white,10,6,6,1,0,1,7,"[6]"
healthy_white,11,1,1,6,0,1,7,"[5]"
healthy_white,12,6,6,4,0,1,7,"[]"
healthy_white,13,4,4,5,0,1,7,"[2]"
healthy_white,14,5,5,4,0,1,7,"[]"
healthy_white,15,4,4,6,0,1,7,"[]"
healthy_white,16,6,6,2,0,1,7,"[]"
healthy_white,17,2,2,3,1,1,7,"[]"
healthy_white,18,3,3,7,0,1,7,"[]"
healthy_white,19,7,7,6,0,1,7,"[]"
healthy_white,20,6,6,7,0,1,7,"[]"
healthy_white,21,7,7,5,0,1,7,"[]"
healthy_white,22,5,5,7,0,1,7,"[]"
healthy_white,23,7,7,3,1,1,7,"[]"
healthy_white,24,3,3,2,0,1,7,"[4]"
healthy_white,25,2,2,1,0,1,7,"[]"
healthy_white,26,1,1,5,0,1,7,"[]"
healthy_white,27,5,5,7,0,1,7,"[]"
healthy_white,28,7,7,5,0,1,7,"[]"
healthy_white,29,5,5,7,0,1,7,"[]"
healthy_white,30,7,7,1,0,1,7,"[]"
healthy_white,31,1,1,2,0,1,7,"[]"
healthy_white,32,2,2,7,0,1,7,"[5]"
healthy_white,33,7,7,4,0,1,7,"[]"
healthy_white,34,4,4,1,0,1,7,"[]"
healthy_white,35,1,1,2,0,1,7,"[4]"
healthy_white,36,2,2,3,1,1,7,"[]"
healthy_white,37,3,3,5,0,1,7,"[5]"
healthy_white,38,5,5,4,0,1,7,"[]"
healthy_white,39,4,4,1,0,1,7,"[]"
healthy_white,40,1,1,4,0,1,7,"[]"
pgd_rho_0.0,1,4,4,5,0,1,7,"[4]"
pgd_rho_0.0,2,5,5,6,0,1,7,"[]"
pgd_rho_0.0,3,6,6,1,0,1,7,"[6,1]"
pgd_rho_0.0,4,1,1,3,1,1,7,"[]"
pgd_rho_0.0,5,3,3,1,0,1,7,"[]"
pgd_rho_0.0,6,1,1,3,1,1,7,"[]"
pgd_rho_0.0,7,3,3,2,0,1,7,"[6]"
pgd_rho_0.0,8,2,2,5,0,1,7,"[]"
pgd_rho_0.0,9,5,5,4,0,1,7,"[]"
pgd_rho_0.0,10,4,4,6,0,1,7,"[]"
pgd_rho_0.0,11,6,6,1,0,1,7,"[]"
pgd_rho_0.0,12,1,1,5,0,1,7,"[]"
pgd_rho_0.0,13,5,5,6,0,1,7,"[]"
pgd_rho_0.0,14,6,6,1,0,1,7,"[5]"
pgd_rho_0.0,15,1,1,4,0,1,7,"[3,5]"
pgd_rho_0.0,16,4,4,2,0,1,7,"[]"
pgd_rho_0.0,17,2,2,5,0,1,7,"[]"
pgd_rho_0.0,18,5,5,1,0,1,7,"[]"
pgd_rho_0.0,19,1,1,6,0,1,7,"[6]"
pgd_rho_0.0,20,6,6,2,0,1,7,"[]"
pgd_rho_0.0,21,2,2,1,0,1,7,"[]"
pgd_rho_0.0,22,1,1,4,0,1,7,"[5]"
pgd_rho_0.0,23,4,4,7,0,1,7,"[]"
pgd_rho_0.0,24,7,7,2,0,1,7,"[]"
pgd_rho_0.0,25,2,2,3,1,1,7,"[]"
pgd_rho_0.0,26,3,3,4,0,1,7,"[5,4]"
pgd_rho_0.0,27,4,4,5,0,1,7,"[]"
pgd_rho_0.0,28,5,5,6,0,1,7,"[]"
pgd_rho_0.0,29,6,6,3,1,1,7,"[]"
pgd_rho_0.0,30,3,3,6,0,1,7,"[]"
pgd_rho_0.0,31,6,6,5,0,1,7,"[]"
pgd_rho_0.0,32,5,5,1,0,1,7,"[]"
pgd_rho_0.0,33,1,1,2,0,1,7,"[]"
pgd_rho_0.0,34,2,2,5,0,1,7,"[]"
pgd_rho_0.0,35,5,5,3,1,1,7,"[]"
pgd_rho_0.0,36,3,3,1,0,1,7,"[]"
pgd_rho_0.0,37,1,1,4,0,1,7,"[]"
pgd_rho_0.0,38,4,4,2,0,1,7,"[]"
pgd_rho_0.0,39,2,2,3,1,1,7,"[]"
pgd_rho_0.0,40,3,3,2,0,1,7,"[]"
pgd_rho_0.3,1,2,2,3,1,1,7,"[]"
