condition,election,prev_leader,new_leader,target_won,live,advisors_alive,bt
healthy_white,1,1,0,0,0,7,"[7,3]"
healthy_white,2,1,0,0,0,7,"[7,2]"
healthy_white,3,1,0,0,0,7,"[7,6]"
healthy_white,4,1,0,0,0,7,"[7,4]"
healthy_white,5,1,0,0,0,7,"[7,4]"
healthy_white,6,1,0,0,0,7,"[7]"
healthy_white,7,1,0,0,0,7,"[7]"
healthy_white,8,1,0,0,0,7,"[7,5]"
healthy_white,9,1,0,0,0,7,"[7,5]"
healthy_white,10,1,0,0,0,7,"[7,6]"
healthy_white,11,1,0,0,0,7,"[7,3]"
healthy_white,12,1,0,0,0,7,"[7,3]"
healthy_white,13,1,0,0,0,7,"[7]"
healthy_white,14,1,0,0,0,7,"[7,2]"
healthy_white,15,1,0,0,0,7,"[1,7]"
healthy_white,16,1,0,0,0,7,"[7]"
healthy_white,17,1,0,0,0,7,"[7]"
healthy_white,18,1,0,0,0,7,"[7]"
healthy_white,19,1,0,0,0,7,"[7,4]"
healthy_white,20,1,0,0,0,7,"[7,3]"
healthy_white,21,1,0,0,0,7,"[7,5]"
healthy_white,22,1,0,0,0,7,"[7,2]"
healthy_white,23,1,0,0,0,7,"[7,1]"
healthy_white,24,1,0,0,0,7,"[7,1]"
healthy_white,25,1,0,0,0,7,"[4,7]"
healthy_white,26,1,0,0,0,7,"[7,6]"
healthy_white,27,1,0,0,0,7,"[3,5]"
healthy_white,28,1,0,0,0,7,"[3,2]"
healthy_white,29,1,0,0,0,7,"[3,2]"
healthy_white,30,1,0,0,0,7,"[3,2]"
healthy_white,31,1,0,0,0,7,"[3,2]"
healthy_white,32,1,0,0,0,7,"[3,2]"
healthy_white,33,1,0,0,0,7,"[3,2]"
healthy_white,34,1,0,0,0,7,"[3,2]"
healthy_white,35,1,0,0,0,7,"[3,2]"
healthy_white,36,1,0,0,0,7,"[3,2]"
healthy_white,37,1,0,0,0,7,"[3,5]"
healthy_white,38,1,0,0,0,7,"[3,2]"
healthy_white,39,1,0,0,0,7,"[3,2]"
healthy_white,40,1,0,0,0,7,"[3,2]"
pgd_rho_0.0,1,1,0,0,0,7,"[7,3]"
pgd_rho_0.0,2,1,0,0,0,7,"[7,3]"
pgd_rho_0.0,3,1,0,0,0,7,"[7]"
pgd_rho_0.0,4,1,0,0,0,7,"[2,1]"
pgd_rho_0.0,5,1,0,0,0,7,"[7]"
pgd_rho_0.0,6,1,0,0,0,7,"[7,2]"
pgd_rho_0.0,7,1,0,0,0,7,"[7,5]"
pgd_rho_0.0,8,1,0,0,0,7,"[7,6]"
pgd_rho_0.0,9,1,0,0,0,7,"[7,4]"
pgd_rho_0.0,10,1,0,0,0,7,"[1,7]"
pgd_rho_0.0,11,1,0,0,0,7,"[7,2]"
pgd_rho_0.0,12,1,0,0,0,7,"[7,3]"
pgd_rho_0.0,13,1,0,0,0,7,"[7,6]"
pgd_rho_0.0,14,1,0,0,0,7,"[7,1]"
pgd_rho_0.0,15,1,0,0,0,7,"[2,7]"
pgd_rho_0.0,16,1,0,0,0,7,"[7,2]"
pgd_rho_0.0,17,1,0,0,0,7,"[7,2]"
pgd_rho_0.0,18,1,0,0,0,7,"[7]"
pgd_rho_0.0,19,1,0,0,0,7,"[7,3]"
pgd_rho_0.0,20,1,0,0,0,7,"[7,3]"
pgd_rho_0.0,21,1,0,0,0,7,""
pgd_rho_0.0,22,1,0,0,0,7,"[7,1]"
pgd_rho_0.0,23,1,0,0,0,7,"[7,5]"
pgd_rho_0.0,24,1,0,0,0,7,"[7]"
pgd_rho_0.0,25,1,0,0,0,7,"[6,7]"
pgd_rho_0.0,26,1,0,0,0,7,"[7,5]"
pgd_rho_0.0,27,1,0,0,0,7,"[1,7]"
pgd_rho_0.0,28,1,0,0,0,7,"[7,1]"
pgd_rho_0.0,29,1,0,0,0,7,"[7,3]"
pgd_rho_0.0,30,1,0,0,0,7,"[7,4]"
pgd_rho_0.0,31,1,0,0,0,7,"[7]"
pgd_rho_0.0,32,1,0,0,0,7,"[7]"
pgd_rho_0.0,33,1,0,0,0,7,"[7,4]"
pgd_rho_0.0,34,1,0,0,0,7,""
pgd_rho_0.0,35,1,0,0,0,7,"[3,7]"
pgd_rho_0.0,36,1,0,0,0,7,"[7,2]"
pgd_rho_0.0,37,1,0,0,0,7,"[7,5]"
pgd_rho_0.0,38,1,0,0,0,7,"[7,5]"
pgd_rho_0.0,39,1,0,0,0,7,"[7,4]"
pgd_rho_0.0,40,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,1,1,0,0,0,7,"[7,5]"
pgd_rho_0.3,2,1,0,0,0,7,"[1,7]"
pgd_rho_0.3,3,1,0,0,0,7,"[1,7]"
pgd_rho_0.3,4,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,5,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,6,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,7,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,8,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,9,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,10,1,0,0,0,7,"[7,5]"
pgd_rho_0.3,11,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,12,1,0,0,0,7,"[2,7]"
pgd_rho_0.3,13,1,0,0,0,7,"[3,7]"
pgd_rho_0.3,14,1,0,0,0,7,"[7,5]"
pgd_rho_0.3,15,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,16,1,0,0,0,7,"[7,4]"
pgd_rho_0.3,17,1,0,0,0,7,"[3,7]"
pgd_rho_0.3,18,1,0,0,0,7,"[7,4]"
pgd_rho_0.3,19,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,20,1,0,0,0,7,"[7,4]"
pgd_rho_0.3,21,1,0,0,0,7,"[7,2]"
pgd_rho_0.3,22,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,23,1,0,0,0,7,"[7,4]"
pgd_rho_0.3,24,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,25,1,0,0,0,7,"[7,1]"
pgd_rho_0.3,26,1,0,0,0,7,"[7]"
pgd_rho_0.3,27,1,0,0,0,7,"[1,7]"
pgd_rho_0.3,28,1,0,0,0,7,"[7,6]"
pgd_rho_0.3,29,1,0,0,0,7,"[1,7]"
pgd_rho_0.3,30,1,0,0,0,7,"[7,5]"
pgd_rho_0.3,31,1,0,0,0,7,"[7,2]"
pgd_rho_0.3,32,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,33,1,0,0,0,7,"[4,7]"
pgd_rho_0.3,34,1,0,0,0,7,""
pgd_rho_0.3,35,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,36,1,0,0,0,7,"[7,1]"
pgd_rho_0.3,37,1,0,0,0,7,"[7,4]"
pgd_rho_0.3,38,1,0,0,0,7,"[7,5]"
pgd_rho_0.3,39,1,0,0,0,7,"[7,3]"
pgd_rho_0.3,40,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,1,1,0,0,0,7,"[7,2]"
pgd_rho_0.6,2,1,0,0,0,7,"[7,5]"
pgd_rho_0.6,3,1,0,0,0,7,"[3,5]"
pgd_rho_0.6,4,1,0,0,0,7,"[7,4]"
pgd_rho_0.6,5,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,6,1,0,0,0,7,"[7,2]"
pgd_rho_0.6,7,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,8,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,9,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,10,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,11,1,0,0,0,7,"[3,2]"
pgd_rho_0.6,12,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,13,1,0,0,0,7,"[7,6]"
pgd_rho_0.6,14,1,0,0,0,7,"[7,6]"
pgd_rho_0.6,15,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,16,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,17,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,18,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,19,1,0,0,0,7,"[7,2]"
pgd_rho_0.6,20,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,21,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,22,1,0,0,0,7,"[7,6]"
pgd_rho_0.6,23,1,0,0,0,7,"[7,2]"
pgd_rho_0.6,24,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,25,1,0,0,0,7,"[1,7]"
pgd_rho_0.6,26,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,27,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,28,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,29,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,30,1,0,0,0,7,"[3,1]"
pgd_rho_0.6,31,1,0,0,0,7,"[7,5]"
pgd_rho_0.6,32,1,0,0,0,7,"[7,2]"
pgd_rho_0.6,33,1,0,0,0,7,"[7,1]"
pgd_rho_0.6,34,1,0,0,0,7,"[7,5]"
pgd_rho_0.6,35,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,36,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,37,1,0,0,0,7,"[7,3]"
pgd_rho_0.6,38,1,0,0,0,7,"[3,7]"
pgd_rho_0.6,39,1,0,0,0,7,"[7,2]"
pgd_rho_0.6,40,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,1,1,0,0,0,7,"[7,4]"
pgd_rho_0.8,2,1,0,0,0,7,"[3,6]"
pgd_rho_0.8,3,1,0,0,0,7,"[7,1]"
pgd_rho_0.8,4,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,5,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,6,1,0,0,0,7,"[7,3]"
pgd_rho_0.8,7,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,8,1,0,0,0,7,"[7,3]"
pgd_rho_0.8,9,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,10,1,0,0,0,7,"[7,2]"
pgd_rho_0.8,11,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,12,1,0,0,0,7,"[3,7]"
pgd_rho_0.8,13,1,0,0,0,7,"[3,1]"
pgd_rho_0.8,14,1,0,0,0,7,"[7,6]"
pgd_rho_0.8,15,1,0,0,0,7,"[3,7]"
