repeat,position,condition,n,fail,p50,p90,p95,p99,max,mean
1,1,nodelay,232,0,2118,2141,2171,2725,2725,2133.9
1,2,healthy_white,104,0,6064,7147,7184,7334,7335,6038.3
1,3,pgd_rho_0.0,104,0,5993,6801,7215,7255,7255,5985.8
1,4,pgd_rho_0.3,108,0,5867,6376,6377,6475,6476,5745.3
1,5,pgd_rho_0.6,108,0,5857,6497,6502,6669,6673,5866.5
1,6,pgd_rho_0.8,108,0,5839,6391,6994,7039,7039,5676.6
1,7,attack_class_ar1,104,0,5934,6689,6809,6858,6859,5904.4
2,1,healthy_white,108,0,5909,6644,6790,6908,6908,5848.1
2,2,pgd_rho_0.0,108,0,5677,6722,6803,7123,7123,5734.6
2,3,pgd_rho_0.3,112,0,5854,6440,6628,6670,6673,5665.3
2,4,pgd_rho_0.6,104,0,5937,7041,7181,7365,7366,5974.4
2,5,pgd_rho_0.8,108,0,5642,6695,7017,7086,7087,5738.2
2,6,attack_class_ar1,108,0,5708,6271,6366,6640,6641,5781.0
2,7,nodelay,232,0,2119,2132,2138,2168,2172,2120.5
