condition,election,prev_leader,new_leader,target_won,live,advisors_alive
healthy_white,1,2,4,0,1,7
healthy_white,2,4,7,0,1,7
healthy_white,3,7,2,0,1,7
healthy_white,4,2,6,0,1,7
healthy_white,5,6,7,0,1,7
healthy_white,6,7,1,0,1,7
healthy_white,7,1,4,0,1,7
healthy_white,8,4,3,1,1,7
healthy_white,9,3,2,0,1,7
healthy_white,10,2,7,0,1,7
healthy_white,11,7,5,0,1,7
healthy_white,12,5,6,0,1,7
healthy_white,13,6,4,0,1,7
healthy_white,14,4,3,1,1,7
healthy_white,15,3,7,0,1,7
healthy_white,16,7,1,0,1,7
healthy_white,17,1,7,0,1,7
healthy_white,18,7,3,1,1,7
healthy_white,19,3,4,0,1,7
healthy_white,20,4,7,0,1,7
healthy_white,21,7,3,1,1,7
healthy_white,22,3,6,0,1,7
healthy_white,23,6,7,0,1,7
healthy_white,24,7,5,0,1,7
healthy_white,25,5,1,0,1,7
healthy_white,26,1,5,0,1,7
healthy_white,27,5,1,0,1,7
healthy_white,28,1,4,0,1,7
healthy_white,29,4,6,0,1,7
healthy_white,30,6,7,0,1,7
healthy_white,31,7,4,0,1,7
healthy_white,32,4,5,0,1,7
healthy_white,33,5,7,0,1,7
healthy_white,34,7,2,0,1,7
healthy_white,35,2,7,0,1,7
healthy_white,36,7,3,1,1,7
healthy_white,37,3,4,0,1,7
healthy_white,38,4,6,0,1,7
healthy_white,39,6,4,0,1,7
healthy_white,40,4,2,0,1,7
pgd_rho_0.0,1,2,6,0,1,7
pgd_rho_0.0,2,6,3,1,1,7
pgd_rho_0.0,3,3,5,0,1,7
pgd_rho_0.0,4,5,3,1,1,7
pgd_rho_0.0,5,3,5,0,1,7
pgd_rho_0.0,6,5,6,0,1,7
pgd_rho_0.0,7,6,1,0,1,7
pgd_rho_0.0,8,1,7,0,1,7
pgd_rho_0.0,9,7,5,0,1,7
pgd_rho_0.0,10,5,7,0,1,7
pgd_rho_0.0,11,7,6,0,1,7
pgd_rho_0.0,12,6,4,0,1,7
pgd_rho_0.0,13,4,2,0,1,7
pgd_rho_0.0,14,2,7,0,1,7
pgd_rho_0.0,15,7,5,0,1,7
pgd_rho_0.0,16,5,7,0,1,7
pgd_rho_0.0,17,7,6,0,1,7
pgd_rho_0.0,18,6,4,0,1,7
pgd_rho_0.0,19,4,7,0,1,7
pgd_rho_0.0,20,7,2,0,1,7
pgd_rho_0.0,21,2,6,0,1,7
pgd_rho_0.0,22,6,1,0,1,7
pgd_rho_0.0,23,1,7,0,1,7
pgd_rho_0.0,24,7,5,0,1,7
pgd_rho_0.0,25,5,7,0,1,7
pgd_rho_0.0,26,7,2,0,1,7
pgd_rho_0.0,27,2,3,1,1,7
pgd_rho_0.0,28,3,6,0,1,7
pgd_rho_0.0,29,6,1,0,1,7
pgd_rho_0.0,30,1,7,0,1,7
pgd_rho_0.0,31,7,5,0,1,7
pgd_rho_0.0,32,5,7,0,1,7
pgd_rho_0.0,33,7,2,0,1,7
