condition,election,prev_leader,new_leader,target_won,live,advisors_alive
healthy_white,1,5,5,0,1,7
healthy_white,2,1,6,0,1,7
healthy_white,3,6,6,0,1,7
healthy_white,4,5,5,0,1,7
healthy_white,5,7,6,0,1,7
healthy_white,6,6,7,0,1,7
healthy_white,7,7,1,0,1,7
healthy_white,8,1,6,0,1,7
healthy_white,9,6,7,0,1,7
healthy_white,10,7,5,0,1,7
healthy_white,11,5,4,0,1,7
healthy_white,12,4,5,0,1,7
healthy_white,13,5,4,0,1,7
healthy_white,14,4,7,0,1,7
healthy_white,15,7,1,0,1,7
healthy_white,16,1,7,0,1,7
healthy_white,17,7,2,0,1,7
healthy_white,18,2,7,0,1,7
healthy_white,19,7,1,0,1,7
healthy_white,20,1,4,0,1,7
healthy_white,21,4,1,0,1,7
healthy_white,22,1,7,0,1,7
healthy_white,23,7,6,0,1,7
healthy_white,24,6,7,0,1,7
healthy_white,25,7,2,0,1,7
healthy_white,26,2,4,0,1,7
healthy_white,27,4,7,0,1,7
healthy_white,28,7,1,0,1,7
healthy_white,29,1,4,0,1,7
healthy_white,30,4,7,0,1,7
healthy_white,31,7,4,0,1,7
healthy_white,32,4,6,0,1,7
healthy_white,33,6,7,0,1,7
healthy_white,34,7,4,0,1,7
healthy_white,35,4,7,0,1,7
healthy_white,36,7,4,0,1,7
healthy_white,37,4,6,0,1,7
healthy_white,38,6,6,0,1,7
healthy_white,39,4,2,0,1,7
healthy_white,40,2,1,0,1,7
pgd_rho_0.0,1,1,2,0,1,7
pgd_rho_0.0,2,2,7,0,1,7
pgd_rho_0.0,3,7,2,0,1,7
pgd_rho_0.0,4,2,5,0,1,7
pgd_rho_0.0,5,5,7,0,1,7
pgd_rho_0.0,6,7,5,0,1,7
pgd_rho_0.0,7,5,2,0,1,7
pgd_rho_0.0,8,2,1,0,1,7
pgd_rho_0.0,9,1,4,0,1,7
pgd_rho_0.0,10,4,5,0,1,7
pgd_rho_0.0,11,5,2,0,1,7
pgd_rho_0.0,12,2,7,0,1,7
pgd_rho_0.0,13,7,6,0,1,7
pgd_rho_0.0,14,6,7,0,1,7
pgd_rho_0.0,15,7,2,0,1,7
pgd_rho_0.0,16,2,4,0,1,7
pgd_rho_0.0,17,4,2,0,1,7
pgd_rho_0.0,18,2,7,0,1,7
pgd_rho_0.0,19,7,1,0,1,7
pgd_rho_0.0,20,1,6,0,1,7
pgd_rho_0.0,21,6,5,0,1,7
pgd_rho_0.0,22,5,2,0,1,7
pgd_rho_0.0,23,2,7,0,1,7
pgd_rho_0.0,24,7,2,0,1,7
pgd_rho_0.0,25,2,1,0,1,7
pgd_rho_0.0,26,1,7,0,1,7
pgd_rho_0.0,27,7,6,0,1,7
pgd_rho_0.0,28,6,5,0,1,7
pgd_rho_0.0,29,5,6,0,1,7
pgd_rho_0.0,30,6,2,0,1,7
pgd_rho_0.0,31,2,1,0,1,7
pgd_rho_0.0,32,1,4,0,1,7
pgd_rho_0.0,33,4,2,0,1,7
pgd_rho_0.0,34,2,7,0,1,7
pgd_rho_0.0,35,7,5,0,1,7
pgd_rho_0.0,36,5,4,0,1,7
pgd_rho_0.0,37,4,7,0,1,7
pgd_rho_0.0,38,7,7,0,1,7
pgd_rho_0.0,39,5,2,0,1,7
pgd_rho_0.0,40,2,5,0,1,7
pgd_rho_0.3,1,5,6,0,1,7
pgd_rho_0.3,2,6,1,0,1,7
pgd_rho_0.3,3,1,4,0,1,7
pgd_rho_0.3,4,4,5,0,1,7
pgd_rho_0.3,5,5,1,0,1,7
pgd_rho_0.3,6,1,2,0,1,7
pgd_rho_0.3,7,2,7,0,1,7
pgd_rho_0.3,8,7,6,0,1,7
pgd_rho_0.3,9,6,4,0,1,7
pgd_rho_0.3,10,4,6,0,1,7
pgd_rho_0.3,11,6,7,0,1,7
pgd_rho_0.3,12,7,4,0,1,7
pgd_rho_0.3,13,4,5,0,1,7
pgd_rho_0.3,14,5,1,0,1,7
pgd_rho_0.3,15,1,7,0,1,7
pgd_rho_0.3,16,7,6,0,1,7
pgd_rho_0.3,17,6,4,0,1,7
pgd_rho_0.3,18,4,6,0,1,7
pgd_rho_0.3,19,6,5,0,1,7
pgd_rho_0.3,20,5,2,0,1,7
pgd_rho_0.3,21,2,7,0,1,7
pgd_rho_0.3,22,7,2,0,1,7
pgd_rho_0.3,23,2,1,0,1,7
pgd_rho_0.3,24,1,6,0,1,7
pgd_rho_0.3,25,6,1,0,1,7
pgd_rho_0.3,26,1,7,0,1,7
pgd_rho_0.3,27,7,6,0,1,7
pgd_rho_0.3,28,6,1,0,1,7
pgd_rho_0.3,29,1,7,0,1,7
pgd_rho_0.3,30,7,5,0,1,7
pgd_rho_0.3,31,5,1,0,1,7
pgd_rho_0.3,32,1,6,0,1,7
pgd_rho_0.3,33,6,2,0,1,7
pgd_rho_0.3,34,2,7,0,1,7
pgd_rho_0.3,35,7,5,0,1,7
pgd_rho_0.3,36,5,4,0,1,7
pgd_rho_0.3,37,4,7,0,1,7
pgd_rho_0.3,38,7,5,0,1,7
pgd_rho_0.3,39,5,7,0,1,7
pgd_rho_0.3,40,7,4,0,1,7
pgd_rho_0.6,1,4,7,0,1,7
pgd_rho_0.6,2,7,6,0,1,7
pgd_rho_0.6,3,6,7,0,1,7
pgd_rho_0.6,4,7,4,0,1,7
pgd_rho_0.6,5,4,6,0,1,7
pgd_rho_0.6,6,6,2,0,1,7
pgd_rho_0.6,7,2,5,0,1,7
pgd_rho_0.6,8,5,7,0,1,7
pgd_rho_0.6,9,7,1,0,1,7
pgd_rho_0.6,10,1,6,0,1,7
pgd_rho_0.6,11,6,6,0,1,7
pgd_rho_0.6,12,7,1,0,1,7
pgd_rho_0.6,13,1,7,0,1,7
pgd_rho_0.6,14,7,2,0,1,7
pgd_rho_0.6,15,2,7,0,1,7
pgd_rho_0.6,16,7,4,0,1,7
pgd_rho_0.6,17,4,1,0,1,7
pgd_rho_0.6,18,1,7,0,1,7
pgd_rho_0.6,19,7,5,0,1,7
pgd_rho_0.6,20,5,2,0,1,7
pgd_rho_0.6,21,2,6,0,1,7
