repeat,position,condition,seconds,h0,h1,blocks,blocks_per_s,tx_ok,tx_tried,tx_per_s
1,1,nodelay,181,1430,1512,82,0.4530,658,658,3.635
1,2,healthy_white,182,1513,1571,58,0.3187,242,242,1.330
1,3,pgd_rho_0.0,184,1572,1631,59,0.3207,239,239,1.299
1,4,pgd_rho_0.3,184,1632,1691,59,0.3207,248,248,1.348
1,5,pgd_rho_0.6,182,1692,1748,56,0.3077,244,244,1.341
1,6,pgd_rho_0.8,183,1749,1807,58,0.3169,252,256,1.377
1,7,attack_class_ar1,183,1808,1865,57,0.3115,240,240,1.311
2,1,healthy_white,184,1866,1927,61,0.3315,251,251,1.364
2,2,pgd_rho_0.0,182,1928,1987,59,0.3242,239,239,1.313
2,3,pgd_rho_0.3,183,1988,2048,60,0.3279,248,248,1.355
2,4,pgd_rho_0.6,182,2049,2106,57,0.3132,239,239,1.313
2,5,pgd_rho_0.8,182,2107,2167,60,0.3297,252,252,1.385
2,6,attack_class_ar1,183,2168,2227,59,0.3224,248,248,1.355
2,7,nodelay,183,2228,2311,83,0.4536,664,664,3.628
3,1,pgd_rho_0.0,183,2311,2369,58,0.3169,240,240,1.311
3,2,pgd_rho_0.3,183,2370,2429,59,0.3224,249,249,1.361
3,3,pgd_rho_0.6,182,2430,2488,58,0.3187,237,237,1.302
3,4,pgd_rho_0.8,183,2489,2549,60,0.3279,252,252,1.377
3,5,attack_class_ar1,184,2550,2607,57,0.3098,240,240,1.304
3,6,nodelay,181,2608,2691,83,0.4586,662,662,3.657
3,7,healthy_white,183,2691,2751,60,0.3279,248,248,1.355
4,1,pgd_rho_0.3,181,2752,2810,58,0.3204,252,252,1.392
4,2,pgd_rho_0.6,183,2811,2869,58,0.3169,240,240,1.311
4,3,pgd_rho_0.8,181,2870,2929,59,0.3260,252,252,1.392
4,4,attack_class_ar1,183,2930,2990,60,0.3279,240,240,1.311
4,5,nodelay,181,2991,3073,82,0.4530,660,660,3.646
4,6,healthy_white,184,3074,3135,61,0.3315,243,243,1.321
4,7,pgd_rho_0.0,184,3136,3196,60,0.3261,244,244,1.326
