rep,epoch,success,fail,throughput,latency,height,disk_h1
1,1789354738,18008,0,290.3,2.04,4006,11%
2,1789354821,18008,0,290.2,2.06,5807,12%
3,1789354903,18008,0,290.2,2.05,7608,12%
4,1789354986,18008,0,290.2,2.07,9409,13%
5,1789355069,18008,0,290.2,2.06,11210,13%
6,1789355152,18008,0,290.2,2.06,13011,14%
7,1789355235,18008,0,290.2,2.06,14812,14%
8,1789355318,18008,0,290.2,2.06,16613,14%
9,1789355401,18008,0,290.2,2.05,18414,15%
10,1789355484,18008,0,290.2,2.06,20215,15%
11,1789355567,18008,0,290.2,2.06,22016,15%
12,1789355650,18008,0,290.2,2.05,23817,16%
13,1789355733,18008,0,290.2,2.05,25618,16%
14,1789355816,18008,0,290.2,2.06,27419,17%
15,1789355899,18008,0,290.2,2.07,29220,17%
16,1789355982,18008,0,290.2,2.06,31021,17%
17,1789356065,18008,0,290.1,2.07,32822,18%
18,1789356148,18008,0,290.1,2.07,34623,18%
19,1789356231,18008,0,290.3,2.04,36424,19%
20,1789356313,18008,0,290.2,2.06,38225,19%
21,1789356397,18008,0,290.2,2.05,40026,19%
22,1789356479,18008,0,290.1,2.07,41827,20%
23,1789356562,18008,0,290.2,2.05,43628,20%
24,1789356645,18008,0,290.2,2.06,45429,20%
25,1789356728,18008,0,290.2,2.07,47230,21%
26,1789356811,18008,0,290.2,2.06,49031,21%
27,1789356894,18008,0,290.2,2.08,50832,22%
28,1789356979,18008,0,290.2,2.06,52633,22%
29,1789357062,18008,0,290.2,2.06,54434,22%
30,1789357145,18008,0,290.2,2.08,56235,23%
31,1789357228,18008,0,290.2,2.06,58036,23%
32,1789357311,18008,0,290.2,2.05,59837,24%
33,1789357394,18008,0,290.2,2.05,61638,24%
34,1789357477,18008,0,290.2,2.06,63439,24%
35,1789357560,18008,0,290.2,2.05,65240,25%
36,1789357643,18008,0,290.2,2.06,67041,25%
37,1789357727,18008,0,290.2,2.05,68842,25%
38,1789357809,18008,0,290.2,2.09,70643,26%
39,1789357892,18008,0,290.2,2.06,72444,26%
40,1789357975,18008,0,290.2,2.05,74245,27%
41,1789358058,18008,0,290.2,2.06,76046,27%
42,1789358141,18008,0,290.2,2.08,77847,27%
43,1789358224,18008,0,290.3,2.05,79648,28%
44,1789358308,18008,0,290.2,2.06,81449,28%
