rep,position,condition,success,failed,send_rate,lat_max,lat_min,lat_avg,throughput,h0,h1,blocks
1,0,healthy_white,27008,0,150.0,2.04,0.04,0.49,148.4,336539,339240,2701
1,1,pgd_rho_0.0,27008,0,150.0,2.04,0.04,0.49,148.4,339240,341941,2701
1,2,pgd_rho_0.3,27008,0,150.0,2.04,0.04,0.48,148.4,341941,344642,2701
1,3,pgd_rho_0.6,27008,0,150.0,2.04,0.04,0.48,148.4,344642,347343,2701
1,4,pgd_rho_0.8,27008,0,150.0,2.04,0.04,0.47,148.4,347343,350044,2701
1,5,attack_class_ar1,27008,0,150.0,2.04,0.04,0.47,148.4,350044,352745,2701
2,0,pgd_rho_0.0,27008,0,150.0,2.05,0.04,0.49,148.4,352745,355446,2701
2,1,pgd_rho_0.3,27008,0,150.0,2.04,0.04,0.48,148.4,355446,358147,2701
2,2,pgd_rho_0.6,27008,0,150.0,2.04,0.04,0.48,148.4,358147,360848,2701
2,3,pgd_rho_0.8,27008,0,150.0,2.05,0.04,0.48,148.4,360848,363549,2701
2,4,attack_class_ar1,27008,0,150.0,2.05,0.03,0.48,148.4,363549,366250,2701
2,5,healthy_white,27008,0,150.0,2.05,0.04,0.49,148.4,366250,368951,2701
3,0,pgd_rho_0.3,27008,0,150.0,2.04,0.04,0.49,148.4,368951,371652,2701
3,1,pgd_rho_0.6,27008,0,150.0,2.34,0.03,0.48,148.4,371652,374353,2701
3,2,pgd_rho_0.8,27008,0,150.0,2.05,0.04,0.48,148.4,374353,377054,2701
3,3,attack_class_ar1,27008,0,150.0,2.04,0.04,0.48,148.4,377054,379755,2701
3,4,healthy_white,27008,0,150.0,2.04,0.04,0.49,148.4,379755,382456,2701
3,5,pgd_rho_0.0,27008,0,150.0,2.05,0.04,0.49,148.4,382456,385157,2701
