rep,position,condition,success,failed,throughput,lat_max,lat_min,h0,h1,blocks
1,0,healthy_white,44791,9217,283.9,14.77,0.04,250573,255098,4525
1,1,pgd_rho_0.0,40367,13641,288.2,27.82,0.04,255098,259215,4117
1,2,pgd_rho_0.3,49706,4302,286.6,13.11,0.04,259215,264261,5046
1,3,pgd_rho_0.6,48552,5456,288.8,8.77,0.04,264261,269254,4993
1,4,pgd_rho_0.8,43483,10525,279.5,27.96,0.04,269254,273649,4395
1,5,attack_class_ar1,48798,5210,295.8,14.70,0.04,273649,278583,4934
2,0,pgd_rho_0.0,48910,5098,286.7,12.69,0.04,278583,283696,5113
2,1,pgd_rho_0.3,44023,9985,293.4,26.68,0.04,283696,288137,4441
2,2,pgd_rho_0.6,48941,5067,275.8,16.72,0.04,288137,293178,5041
2,3,pgd_rho_0.8,40956,13052,294.1,31.00,0.04,293178,297345,4167
2,4,attack_class_ar1,46465,7543,285.0,28.37,0.04,297345,302168,4823
2,5,healthy_white,48169,5839,282.9,13.40,0.04,302168,307142,4974
3,0,pgd_rho_0.3,45202,8806,295.6,16.37,0.04,307142,311718,4576
3,1,pgd_rho_0.6,45964,8044,288.0,15.36,0.04,311718,316426,4708
3,2,pgd_rho_0.8,50697,3311,290.0,11.21,0.04,316426,321567,5141
3,3,attack_class_ar1,44426,9582,294.7,18.07,0.03,321567,326096,4529
3,4,healthy_white,45120,8888,261.2,28.37,0.04,326096,330750,4654
3,5,pgd_rho_0.0,38403,15605,289.8,26.73,0.04,330750,334676,3926
