run,valid,baseline_ok,R,Rf,L_fail_frac,D,C_clean_100_succ,C_clean_100_fail,C_clean_100_lat,C_clean_100_tps,C_clean_200_succ,C_clean_200_fail,C_clean_200_lat,C_clean_200_tps,C_clean_300_succ,C_clean_300_fail,C_clean_300_lat,C_clean_300_tps,C_clean_400_succ,C_clean_400_fail,C_clean_400_lat,C_clean_400_tps,C_clean_500_succ,C_clean_500_fail,C_clean_500_lat,C_clean_500_tps,F_follower_100_succ,F_follower_100_fail,F_follower_100_lat,F_follower_100_tps,F_follower_200_succ,F_follower_200_fail,F_follower_200_lat,F_follower_200_tps,F_follower_300_succ,F_follower_300_fail,F_follower_300_lat,F_follower_300_tps,F_follower_400_succ,F_follower_400_fail,F_follower_400_lat,F_follower_400_tps,F_follower_500_succ,F_follower_500_fail,F_follower_500_lat,F_follower_500_tps,L_leader_100_succ,L_leader_100_fail,L_leader_100_lat,L_leader_100_tps,L_leader_200_succ,L_leader_200_fail,L_leader_200_lat,L_leader_200_tps,L_leader_300_succ,L_leader_300_fail,L_leader_300_lat,L_leader_300_tps,L_leader_400_succ,L_leader_400_fail,L_leader_400_lat,L_leader_400_tps,L_leader_500_succ,L_leader_500_fail,L_leader_500_lat,L_leader_500_tps,C_clean_post_100_succ,C_clean_post_100_fail,C_clean_post_100_lat,C_clean_post_100_tps,C_clean_post_200_succ,C_clean_post_200_fail,C_clean_post_200_lat,C_clean_post_200_tps,C_clean_post_300_succ,C_clean_post_300_fail,C_clean_post_300_lat,C_clean_post_300_tps,C_clean_post_400_succ,C_clean_post_400_fail,C_clean_post_400_lat,C_clean_post_400_tps,C_clean_post_500_succ,C_clean_post_500_fail,C_clean_post_500_lat,C_clean_post_500_tps
r25c_20260824-173515,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-174242,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-174726,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-175209,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-175653,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-180136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-180620,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-181104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-181547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-182031,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-205803,1,1,0.3452,0.7722,0.1405,0.4193,3004,0,0.08,93.7,6004,0,0.06,187.4,9004,0,0.07,280.8,12004,0,0.07,374.6,15000,0,1.11,482.9,3004,0,0.31,87.7,6004,0,1.13,160.5,9004,0,1.18,226.3,12004,0,1.25,298.7,15003,0,2.21,372.9,1304,1700,30.58,24.4,948,5056,33.16,44.5,7290,1714,31.89,92.4,11022,982,19.61,133.4,12896,2108,25.93,166.7,0,3004,,23.5,0,6004,,66.7,9004,0,14.75,178.5,12004,0,16.46,202.9,15004,0,24.64,202.5
r25c_20260824-212740,0,,,,,,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.0,12004,0,0.08,374.4,15004,0,1.28,467.9,3004,0,0.26,93.0,6004,0,0.81,162.7,9004,0,1.26,224.0,12004,0,1.29,299.6,15003,0,2.93,373.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
r25c_20260824-215743,1,1,0.3569,0.799,0.1383,0.4357,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.1,12003,0,0.08,374.4,14998,0,1.77,467.1,3004,0,0.13,93.7,6004,0,0.72,169.9,9004,0,1.09,224.6,12004,0,1.34,299.8,15004,0,2.82,373.2,1666,1338,28.17,24.2,989,5015,32.77,43.8,6691,2313,30.84,92.4,10997,1006,19.77,133.4,12929,2075,25.91,166.7,0,3004,,27.5,2802,3202,59.39,67.8,9004,0,8.81,198.4,12004,0,16.15,202.9,15004,0,24.22,203.5
r25c_20260824-222709,1,1,0.3564,0.8306,0.1471,0.922,3004,0,0.09,93.8,6004,0,0.06,187.4,9004,0,0.06,281.0,12004,0,0.08,374.6,15004,0,1.01,468.0,1189,1815,30.77,33.3,598,5406,43.05,61.5,4291,4713,56.44,111.4,12004,0,0.51,366.2,15004,0,2.24,388.7,1466,1538,27.19,22.9,1011,4993,30.35,44.5,7925,1079,26.11,100.0,10291,1713,25.75,133.3,12795,2207,25.83,166.8,0,3004,,33.3,0,6004,,66.7,9004,0,22.24,158.2,12004,0,15.63,206.1,15002,0,6.88,431.5
r25c_20260824-225706,1,1,0.3562,0.3205,0.1399,0.4376,3004,0,0.08,93.8,6004,0,0.06,187.4,9004,0,0.06,281.1,12004,0,0.08,374.6,15004,0,0.87,468.0,2168,836,20.28,33.3,1086,4918,45.91,61.3,1187,7817,60.31,90.0,10800,1204,33.43,123.5,14623,380,29.98,150.0,1480,1524,32.99,23.9,806,5198,42.7,45.2,7845,1159,27.27,100.1,10303,1701,25.79,133.4,12905,2099,26.14,166.7,0,3004,,21.4,0,6004,,66.7,0,9004,,100.0,12004,0,47.27,134.8,15002,0,23.97,204.8
r25c_20260824-233307,1,1,0.2885,0.3205,0.1468,0.4376,3004,0,0.1,93.8,6004,0,0.06,187.4,9004,0,0.06,281.0,12004,0,0.07,374.6,15004,0,0.87,468.0,2450,554,18.05,33.1,1016,4988,42.93,60.1,5234,3770,55.38,112.1,12004,0,26.85,153.1,12654,2349,23.39,150.0,1309,1695,34.65,24.6,671,5333,35.37,44.5,6574,2430,69.46,78.9,11027,974,38.54,112.3,12802,2202,57.04,135.0,0,3004,,31.0,6004,0,42.0,93.5,9004,0,8.02,204.6,12004,0,15.75,205.8,15001,0,23.83,204.8
r25c_20260825-000624,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
